,indonesian,balinese
0,abu,abu
1,abu,aon
2,abu,aon 
3,abu,awu
4,adopsi,adopsi
5,aduh,adah
6,aduh,aduh
7,aduh,beh
8,aktif,aktip
9,aktif,bincuh
10,aktif,lincah 
11,aku,awake
12,aku,cang
13,aku,iraga
14,aku,rage
15,aku,tiang 
16,aku,titiang
17,aku,tiyang
18,aku,yang
19,alam,gumi
20,alam,jagat
21,alam,praja
22,alasan,alesan
23,alasan,dadalan
24,aman,aman
25,aman,rahayu
26,amat,bas
27,amat,gati
28,amat,pesan
29,amat,pisan 
30,amat,sajaan
31,ambil,ambil
32,ambil,jemak
33,ancam,ancem
34,ancaman,anceman
35,aneh,sanglir
36,aneh,soleh
37,aneh,soleh 
38,aneh,tawah
39,anehnya,soleh ne 
40,anehnya,solehne
41,anehnya,tawah ne 
42,anggun,abra
43,anti,anti
44,antisipasi,antisipasi
45,api,api
46,api,api 
47,api,apui
48,api,geni
49,api,teja
50,apresiasi,apresiasi
51,asing,soleh
52,asing,tawah
53,asyik,geleng
54,asyik,iteh
55,badass,kual
56,badass,nakal
57,bagi,cacarang
58,bagi,dum
59,bagus,becik
60,bagus,becik 
61,bagus,luung
62,bagus,luung 
63,bagus,melah
64,bahagia,bagia
65,bahagia,kendel
66,bahaya,baya
67,bahaya,durgama
68,bahaya,ila
69,baik,becik
70,baik,becik 
71,baik,luung 
72,ban,ban
73,bangga,ajumang 
74,bangga,bangga
75,bangga,banggaang 
76,bangga,bonggan
77,bantu,nguotin 
78,bantu,ngwantu
79,bantu,olas
80,bantu,tulung
81,batal,buung
82,batal,buungang 
83,batal,wangde 
84,batas,belat
85,batas,sengker 
86,batas,wates
87,batas,wates 
88,bebas,bebas
89,bebas,senggang 
90,beberapa,makudang-kudang
91,beberapa,makudang-kudang 
92,bela,mela
93,belakang,duri
94,belakang,duri 
95,belakang,kuri 
96,belakang,pungkur
97,benar,beneh
98,benar,patut 
99,bencana,bencana
100,bencana,biseka 
101,bencana,sangkala 
102,benci,duleg 
103,benci,pedih 
104,benci,sengit
105,berani,bani
106,berani,bani 
107,berani,purun 
108,berarti,artine
109,berarti,marti 
110,berat,abot 
111,berat,baat
112,berat,baat 
113,berbahaya,baya
114,berbahaya,mabaya 
115,berdarah,magetih 
116,berdarah,megetih
117,berdoa,mebakti
118,berdoa,ngacep 
119,berduka,kasungkawan 
120,berduka,sungsut
121,berguna,maguna
122,berguna,mapikenoh 
123,berhak,kuasa
124,berhak,wenang 
125,berharap,ngarep
126,berharap,ngarep 
127,beri,aturang 
128,beri,baang 
129,beri,maang
130,berkomitmen,makomitmen
131,berkomitmen,masemaya
132,berlebihan,lebihan
133,berlebihan,meliah 
134,bermanfaat,maguna
135,bermanfaat,mapiguna
136,bersaing,masaat-saatang 
137,bersaing,mepadu
138,bersaing,mesaing
139,bersama, bareng-bareng 
140,bersama,sareng
141,bersedih,sebet 
142,bersedih,sedih
143,bersembunyi,maengkeb 
144,bersembunyi,mengekeb
145,bersorak,masuryak
146,bersorak,masuryak 
147,besar,ageng
148,besar,gede
149,besar,gede 
150,biadab,gemes
151,biadab,sahasa
152,biaya,bea
153,biaya,panelas
154,biaya,prabiya
155,bingung,bingung
156,bingung,inguh
157,bingung,kablinger 
158,bodoh,belog 
159,bodoh,lengeh
160,bodoh,lengeh 
161,bohong,bogbog
162,bohong,mogbog
163,bom,bom
164,buka,ampak
165,buka,ampakang 
166,buka,bungkah
167,buka,engkab 
168,buka,gagah
169,bunga,bunga 
170,bunga,sekar
171,bungkam,bungkem
172,bungkam,bungkem 
173,bunuh,matiang
174,bunuh,matiang 
175,bunuh,pademang
176,bunuh diri,alihpati 
177,bunuh diri,ngematiang raga
178,buruk,bocok 
179,buruk,bodo
180,buruk,jele
181,buta,buta
182,buta,buta 
183,buta,peceng 
184,cantik,ayu
185,cantik,jegeg
186,cantik,jegeg 
187,capai,kenjel
188,capai,kenyel
189,capai,tincap 
190,cari,alih
191,cari,rereh
192,cedera,cidera
193,cegah,cegah
194,cemas,sumangsaya
195,cepat,becat 
196,cepat,enggal
197,cepat,enggal 
198,cepat,gelis
199,cerdas,dueg 
200,cerdas,pradnya
201,cerdas,wikan
202,cinta,tresna
203,cinta,tresna 
204,cium,diman
205,cium,diman 
206,cium,mik
207,cocok,adung
208,cocok,adung 
209,cocok,cocok
210,cocok,patut 
211,copet,maling
212,damai,dame
213,damai,dame 
214,damai,santi
215,dapat,maan
216,dapat,maan 
217,daya,daya
218,daya,upaya  
219,diabaikan,siepanga 
220,diabaikan,sing runguanga
221,diabaikan,tusing runguanga
222,diam,mendep
223,diam,nengil
224,diam,ngoyong
225,diam,nongos
226,diam,siep
227,diam,siep 
228,diancam,ancema
229,dibersihkan,kedasina
230,dibersihkan,kedasina 
231,dicuri,kemaling 
232,dicuri,malinga
233,dihukum,hukuma
234,dikalahkan,kalahanga
235,dikalahkan,kalahina
236,dipercaya,gugua
237,dipercaya,kapracayain 
238,dipercaya,percayina
239,dipermalukan,kemadina
240,dipermalukan,kimudang 
241,dipermalukan,lekina
242,dipertanyakan,takonina
243,dipertanyakan,takonina 
244,diprovokasi,provokasina
245,disebut-sebut,kapanggil-panggil 
246,disebut-sebut,oranga
247,ditakuti,jejehina
248,ditakuti,kajejehin 
249,ditakuti,takutina
250,ditangkap,dakepa
251,ditangkap,ejuka
252,ditangkap,katangkep 
253,ditangkap,tangkepa
254,diteror,kateror 
255,diteror,terora
256,ditinggalkan,kalahina 
257,ditinggalkan,kalaina
258,ditingkatkan,katincapin 
259,ditingkatkan,tingkatina
260,dituduh,daliha
261,dituduh,katuduh 
262,dituduh,tuduha
263,ditunda,andeg
264,ditunda,matunda
265,doa,acep-acepan 
266,doa,puja
267,doktrin,doktrin
268,duka,duka
269,duka,sungkawa 
270,dukung,dukung
271,dukung,sokong 
272,dukungan,dukungan
273,dukungan,sokongan 
274,efektif,efektip
275,eksklusif,ekslusip
276,empati,empati
277,fitnah,pisuna
278,fitnah,pisuna 
279,fokus,pokus
280,gagah,gagah 
281,gagah,ganggas
282,gagah,kukuh
283,gagah,siteng
284,gagal,gagal
285,gampang,aluh
286,gampang,aluh 
287,ganggu,ganggu 
288,ganggu,rudeg 
289,ganggu,uyak
290,gaya,gaya
291,gelap,peteng
292,gelap,peteng 
293,gentar,getap
294,gentar,jejeh
295,gentar,nyeh
296,gertak,gerak 
297,gertak,gertak
298,gila,buduh
299,gila,buduh 
300,gila,sedeng
301,guncang,gubeg
302,guncang,guncang
303,guncangan,gubeg 
304,guncangan,guncangan
305,ha,apa
306,ha,ha
307,habis,pragat
308,habis,suud
309,habis,telah
310,habis,telah 
311,habis,telas 
312,hal,indik
313,hal,unduk
314,hancur,benyah
315,hancur,benyah 
316,hantu,memedi
317,hantu,wong 
318,harapan,acepan 
319,harapan,harapan
320,harga,ajin
321,harga,pangarga 
322,harta,arta
323,harta,brana 
324,hasil,asil 
325,hasil,hasil
326,hati,ati
327,hati-hati,adeng-adeng
328,hati-hati,alo-alon 
329,hati-hati,alon-alon
330,hebat,hebat
331,hebat,kabinawa
332,heboh,heboh
333,heroik,heroik
334,hidup,idup
335,hidup,irup
336,hilang,ilang
337,hukum,hukum
338,ikut,milu
339,ikut,milu 
340,ikut,nuut
341,ilham,sabda
342,iman,pageh
343,iman,teteg
344,indah,indah
345,ingat,eling 
346,ingat,inget
347,ingin,dot
348,ingin,dot 
349,interogasi,interogasi
350,isi,isi
351,isi,misi
352,istimewa,istimewa
353,jahat,beler
354,jahat,corah
355,jahat,jele 
356,jamin,jawab
357,jatuh,ulung
358,jatuh,ulung 
359,jawab,nyawab 
360,jawab,sahut
361,jawab,saur
362,jawab,saut
363,jaya,jaya
364,jaya,kasub 
365,jelas,biakta 
366,jelas,jelas
367,jelek,jele
368,jelek,jele 
369,jenis,soroh
370,jenis,soroh 
371,jual,adep
372,jual,adep 
373,kalah,kalah
374,kalah,kalah 
375,kalimat,lengkara
376,kalimat,lengkara 
377,kapal,kapal
378,kapal,kapal 
379,karya,geguritan 
380,karya,karya
381,kasihan,pedalem
382,kasihan,pedalem 
383,kaya,sugih
384,keadilan,keadilan
385,keamanan,keamanan
386,keamanan,keamanan 
387,kebaikan,kabecikan 
388,kebaikan,kebecikan
389,kebencian,kapedihan 
390,kebencian,kebencian
391,keberanian,kabanian 
392,keberanian,kewanenan
393,kebetulan,kabenengan 
394,kebetulan,kebenehan
395,kecewa,kuciwa
396,kecewa,kuciwa 
397,kehancuran,benyah 
398,kehancuran,kebenyahan
399,kehilangan,kailangan 
400,kehilangan,kilangan
401,kejahatan,kacorahan
402,kejahatan,kebeleran
403,kejam,gemes
404,kejam,kejam 
405,kejam,sahasa
406,keji,gemes
407,keji,keji 
408,keji,sahasa
409,kekayaan,arta
410,kekayaan,kasugihan 
411,kekerasan,kekerasan
412,kekerasan,kekrasan 
413,kekuatan,bayu
414,kekuatan,kekuatan 
415,kelaparan,seduk
416,kelaparan,seduk 
417,keluar,pesu
418,keluar,pesu 
419,kematian,kapademan
420,kematian,kematian 
421,kembali,balik
422,kembali,balik 
423,kena,kena
424,kena,kena  
425,kena,kenen
426,kena,kenin
427,kenal,kenal
428,kenal,wikan 
429,kenyamanan,kenyamanan
430,kepentingan,kepentingan
431,kepentingan,kepentingan 
432,keras,katos
433,keras,katos  
434,keren,keren
435,kerugian,karugian 
436,kerugian,norok
437,kerusakan,kausakan 
438,kerusakan,kusakan
439,kesalahan,kapelihan 
440,kesalahan,pelih
441,kesan,kesan
442,kesempatan,galah 
443,kesempatan,kesempatan
444,kesepian,kesepian
445,kesepian,suung 
446,kesulitan,karuetan 
447,kesulitan,kekewehan
448,ketakutan,kajerihan 
449,ketakutan,kenyehan
450,ketat,kerep 
451,ketat,ketat
452,ketegangan,ketegangan
453,kompak,kompak
454,kompak,kompak 
455,konflik,konflik
456,konspirasi,konspirasi
457,korban,korban
458,korban,korban 
459,korban jiwa,korban jiwa
460,korban jiwa,korban jiwa 
461,kosong,puyung
462,kosong,puyung 
463,kotor,daki
464,kotor,daki 
465,kuat,bakuh
466,kuat,ceteng 
467,kuat,kuat
468,kuat,kukuh
469,kurang,kuang
470,kurang,kuang 
471,kutuk,pastu
472,kutuk,pastu 
473,kutuk,sapa
474,kutukan,pamastu 
475,kutukan,sapa
476,langgar,langgar
477,langgar,purug 
478,larang,larang
479,larang,panten 
480,larangan,larangan
481,larangan,panten 
482,lawan,adu 
483,lawan,lawan
484,layak,nyandang 
485,layak,pantes
486,layak,patut
487,lebih,lebih
488,lebih,lebihan 
489,lebih baik,becikan 
490,lebih baik,lebih luung
491,lebih baik,lebih melah
492,lembut,alus
493,lembut,katul 
494,lengkap,genep
495,lengkap,jangkep 
496,lenyap,ilang
497,lenyap,lenyap
498,lenyap,sirna 
499,lewat,liwat
500,lewat,liwat 
501,lihat,iwasin
502,lihat,tingalin 
503,lihat,tolih
504,lmao,kedek
505,luar biasa,aeng sajan 
506,luar biasa,luar biasa
507,lucu,banyol
508,lucu,baud 
509,luka,benges  
510,luka,tatu
511,lupa,engsap 
512,lupa,sap
513,maaf,ampura
514,mahal,mael
515,mahal,mael 
516,mampu,nyidang 
517,mampu,prasida
518,marah,gedeg
519,marah,gedeg 
520,marah,jengah
521,masalah,masalah
522,masalah,prakara 
523,mati,mati
524,mati,mati 
525,mati,padem
526,mati,seda
527,mayat,bangke
528,mayat,mayit
529,mayat,sawa
530,melakukan,melakukan
531,melakukan,nglaksanayang 
532,melanggar,ngelanggar
533,melanggar,nglanggar 
534,melemahkan,ngelemahin
535,melemahkan,ngendukang 
536,melindungi,ngabih 
537,melindungi,ngelindungin
538,melumpuhkan,ngelumpuhang 
539,melumpuhkan,ngelumpuhin
540,memastikan,mastiang
541,memastikan,mastiang 
542,membahayakan,ila 
543,membahayakan,ngebayain
544,membantu,ngoopin 
545,membantu,nulungin
546,membatalkan,buungang 
547,membatalkan,muungang
548,membenci,menci
549,membenci,pedih 
550,membuka,mukak
551,membuka,mukak 
552,membuka,ngagah
553,membuka,ngampak
554,membunuh,ngamatiang 
555,membunuh,ngematiang
556,memerangi,masiat 
557,memerangi,merangin
558,mempertanyakan,nakonang
559,mempertanyakan,nakonin
560,memuji,muji
561,memuji,muji 
562,menahan,naan 
563,menahan,naenang
564,menahan,nahan
565,menanti,ngantiang
566,menanti,ngantiang 
567,menarik,bangkit 
568,menarik,ngedeng
569,mencurigakan, 
570,mencurigakan,mencurigakan
571,mendapatkan,makatang 
572,mendapatkan,molihang
573,mendapatkan,molihin
574,menderita,sangsara
575,menderita,sangsara 
576,mendoktrin,ngedoktrin
577,mendorong,nongsok 
578,mendorong,norong
579,mendorong,nyorog
580,mendorong,nyurug
581,mendukung,nukung
582,mendukung,nyokong 
583,mendung,gulem
584,mendung,gulem 
585,menembak,medil
586,menembak,medil 
587,menembak,nembak
588,menerima,maan
589,menerima,nerima 
590,mengakui,ngakuin
591,mengakui,ngakunin
592,mengamankan,ngamanin
593,mengamankan,ngamanin 
594,mengeluarkan,mesuang
595,mengeluarkan,mesuang 
596,mengembalikan,nguliang
597,mengembalikan,nguliang 
598,mengerikan,mengerikan
599,mengerikan,ngeyehin 
600,menghancurkan,menyahin
601,menghancurkan,ngancurang 
602,menghargai,ngajiang 
603,menghargai,ngargain
604,menghindari,ngimpasin 
605,menghindari,ngindarin
606,mengusir,ngusir
607,mengusir,ngusir 
608,mengutuk,mastu
609,mengutuk,pastu
610,meninggal,seda
611,meningkatkan,nincapang 
612,meningkatkan,ningkatin
613,menolak,mamelit 
614,menolak,nulud
615,menunggu,ngantiang 
616,menunggu,ngantosin
617,menurunkan,nuunin
618,menurunkan,tuunang 
619,menyadari, 
620,menyadari,eling
621,menyadari,inget
622,menyalahkan,melihang
623,menyalahkan,nyalahang
624,menyalahkan,pelihang 
625,menyambut,nampi
626,menyambut,nyanggra 
627,menyebabkan,makrana 
628,menyebabkan,ngaenang
629,menyebabkan,nyebabang
630,menyerang,nyerang
631,menyerang,nyerang 
632,menyeret,nyeret
633,menyeret,paid 
634,menyesatkan,malingang
635,menyesatkan,sasar
636,menyita,nyita
637,meragukan,gabeng 
638,meragukan,sangsaya
639,meruntuhkan,ngulungang
640,meruntuhkan,rubuhang 
641,minta,nagih
642,minta,nagih 
643,minta,ngidih
644,minta,nunas
645,minta maaf,nagih pelih
646,minta maaf,ngidih pelih
647,minta maaf,nunas ampura
648,miskin,lacur
649,miskin,lacur 
650,miskin,tiwas
651,moga,dumogi
652,moga,mogi
653,muda,nguda 
654,muda,truna
655,mudah,aluh
656,mudah,aluh 
657,muka,mua
658,muka,muka 
659,mulia,pradnyan
660,mundur,kirig
661,mundur,kirig 
662,murah,mudah
663,murah,mudah 
664,murka,mamongor 
665,murka,ngerebeda
666,musuh,lawan
667,musuh,musuh
668,musuh,musuh 
669,nanti,benjep
670,nanti,enjep
671,nanti,nyanan 
672,nekat,nekat
673,neraka,neraka
674,neraka,nraka
675,ngeri,enyeh 
676,ngeri,ngeri
677,ngerti,ngerti
678,ngerti,ngerti 
679,nilai,biji
680,nilai,nilai
681,oke,oke
682,oleh,antuk 
683,oleh,baan
684,oleh,olih
685,orang bodoh,nak belog 
686,orang bodoh,nak lengeh
687,pada,antuk
688,pada,tatkala
689,padat,entel 
690,padat,padet
691,pahlawan,pahlawan
692,pahlawan,pahlawan 
693,palsu,palsu
694,palsu,palsu 
695,panas,kebus
696,panas,kebus 
697,panik,panik
698,panjang,dawa
699,panjang,lantang
700,panjang,lantang 
701,pantat,jit
702,pantat,jit 
703,parodi,bebanyolan
704,parodi,parodi
705,pasti,pasti
706,pasti,pasti 
707,pasti,seken
708,pecah,belah
709,pecah,belah 
710,peduli,peduli 
711,peduli,rungu
712,pelaku, 
713,pelaku,pelaku
714,pelaku kejahatan,duratmaka
715,pelaku kejahatan,pelaku kecorahan
716,pembela,ane mela
717,pemberani,ane wanen
718,pemberani,wanen 
719,pemberontakan,pemberontakan
720,penangkapan,juk 
721,penangkapan,penangkepan
722,pendukung,ane nukung
723,pendukung,panyokong 
724,penembakan, 
725,penembakan,ane nembak
726,penembakan,pembedilan
727,pengecut, 
728,pengecut,pengecut
729,pengunjung, 
730,pengunjung,pengecut
731,penjara,kerangkeng 
732,penjara,penjara
733,penting,penting
734,penting,penting 
735,penuh,bek 
736,penuh,penuh
737,penuh,pul
738,penularan, 
739,penularan,penularan
740,penyelamat,juru selamat
741,penyelamat,pralanang 
742,penyelidikan,panyelehan 
743,penyelidikan,penyelidikan
744,perampok, 
745,perampok,begal
746,perampok,maling
747,perang,perang 
748,perang,yudha
749,perasaan,keneh 
750,perasaan,perasaan
751,percaya,percaya
752,percaya,pracaya 
753,perdamaian,kerahayuan 
754,perdamaian,perdamaian
755,peringatan,pakeling 
756,peringatan,peringatan
757,perjuangan, 
758,perjuangan,perjuangan
759,pertanyaan,patakon 
760,pertanyaan,petaken
761,pertanyaan,petakon
762,pertempuran,pertempuran
763,pertempuran,yuda 
764,pikir,idep 
765,pikir,manah
766,pintar,cacep
767,pintar,dueg
768,pintar,dueg 
769,pintar,ririh
770,populer,kasub 
771,populer,terkenal
772,positif,becik 
773,positif,positip
774,potong,getep
775,potong,getep 
776,puja,ngastawa 
777,puja,puja
778,puji,junjung 
779,puji,puji
780,pukul,ambet 
781,pukul,antem
782,pukul,gebug
783,pulih,dadian
784,pulih,seger 
785,pulih,segeran
786,pura,pura
787,pura,pura 
788,pusing,lempuyengan 
789,pusing,pengeng
790,pusing,puruh
791,racun,cetik
792,racun,racun 
793,rahmat, 
794,rahmat,sweca
795,rampas,begal
796,rampas,juang 
797,ras, 
798,ras,ras
799,raya, 
800,raya,ageng
801,raya,gede
802,rela,ledang 
803,rela,sadia
804,rindu,iseng
805,rindu,iseng 
806,rindu,kangen
807,runtuh,rubuh 
808,runtuh,ulung
809,sadar,eling
810,sadar,inget
811,sadar,ngeh 
812,saham, 
813,saham,saham
814,sakit,gelem
815,sakit,gelem 
816,sakit,sakit
817,salah,pelih
818,salah,pelih 
819,salam,salam
820,salam,salam 
821,salut, 
822,salut,salut
823,sama,pateh
824,sama,patuh
825,sama,patuh 
826,samping,samping 
827,samping,sisi
828,sangat,ajan
829,sangat,gati
830,sangat,pesan 
831,sangat,sajan
832,santai,santai
833,santai,santai 
834,sapa,mecapatan 
835,sapa,sapa
836,saran, 
837,saran,saran
838,sayang,asih 
839,sayang,sayang
840,sebab,angen
841,sebab,awinan 
842,sebut,orang
843,sebut,sebut
844,sedih,sebet 
845,sedih,sedih
846,segan,ngeng 
847,segan,segan
848,selamat,rahajeng 
849,selamat,rajaheng
850,selesai,pragat
851,selesai,suud
852,selesai,usan 
853,semangat, 
854,semangat,semangat
855,sembunyi,mengkeb
856,sembunyi,mengkeb 
857,semoga,dumogi
858,sempat,polih 
859,sempat,sempat
860,senang,demen
861,senang,demen 
862,senang,kendel
863,senang,liang
864,senang,seneng
865,sendiri,padidi
866,sendiri,pedidi
867,senjata,gegawan 
868,senjata,senjata
869,senyum,kenyem
870,senyum,makenyem 
871,seperti,sekadi
872,seperti,sekadi 
873,sepi,ning
874,sepi,sepi
875,sepi,suung 
876,seragam,seragam
877,seragam,seragam 
878,seram,seram 
879,seram,serem
880,serang,rejek 
881,serang,serang
882,serangan,rejek 
883,serangan,serangan
884,serikat, 
885,serikat,sekaa
886,siap,pragat
887,siap,sayaga
888,siap,sedia
889,siap,siap 
890,sigap,cager 
891,sigap,sigap
892,silahkan,durusang 
893,silahkan,rarisang
894,simpati,anuraga 
895,simpati,simpati
896,simpatik, 
897,simpatik,simpatik
898,solidaritas,guluk 
899,solidaritas,solidaritas
900,sopan, 
901,sopan,sopan
902,stres, 
903,stres,stres
904,striker,pangrejek
905,striker,striker
906,suap,numbuk 
907,suap,suap
908,suka,demen
909,suka,demen 
910,sulit,keweh
911,sulit,keweh 
912,super, 
913,super,super
914,surga,suarga
915,surga,suarga 
916,susah,keweh
917,susah,keweh 
918,susah,sukeh
919,tabah, 
920,tabah,tegteg
921,tabrak,tabrak
922,tabrak,tomplok 
923,tahan,taanang 
924,tahan,taenang
925,tahan,tahan
926,tahanan,tahanan
927,tahanan,tahanan 
928,tak kalah,sing kalah
929,tak kalah,sing kalah 
930,takut,ajerih 
931,takut,getap
932,takut,jejeh
933,takut,takut
934,tanggung jawab,agem-ageman 
935,tanggung jawab,tanggung jawab
936,tangis,eling
937,tangis,nyebak 
938,tangkap,dakep
939,tangkap,ejuk
940,tangkap,nangkep 
941,tantangan, 
942,tantangan,tantangan
943,tanya,matakon 
944,tanya,taken
945,tanya,takon
946,tegang,jantengang 
947,tegang,kenyat
948,tegang,tegang
949,tegas,pedesang 
950,tegas,teges
951,tembak,matembak
952,tembak,medil
953,tembak,nembak
954,tempur,jurit 
955,tempur,tempur
956,tenang,alep 
957,tenang,tenang
958,tenggelam,keleb 
959,tenggelam,tenggelam
960,tentang,antuk
961,tentang,antuk 
962,tentu,karuan 
963,tentu,pasti
964,tentu,tetep
965,teramat,gati
966,teramat,sajan
967,teramat,sajan 
968,teramat,sanget
969,terbesar,paling gede
970,terbesar,paling gede 
971,terbunuh,kematiang
972,terbunuh,kematiang 
973,terganggu,kaganggu 
974,terganggu,kauyak
975,terganggu,keaduk
976,tergantung,kagantung
977,tergantung,maplanting 
978,teriak,gelur 
979,teriak,suryak
980,teriakan,geluran 
981,teriakan,suryakan
982,terima,nerima
983,terima,trima 
984,terima kasih,matur suksma
985,terima kasih,suksma 
986,terimakasih,matursuksma
987,terimakasih,suksma 
988,terkejut,kagiat 
989,terkejut,tengkejut
990,terkena,kena 
991,terkena,kenen
992,terkena,kenin
993,terluka,matatu 
994,terluka,metatu
995,teror,teror
996,teror,teror 
997,terpengaruh, 
998,terpengaruh,kapengaruh
999,tersangka, 
1000,tersangka,tersangka
1001,tersinggung, 
1002,tersinggung,tersinggung
1003,tertarik,mekedeng
1004,tertarik,tertarik 
1005,tertentu, 
1006,tertentu,tertentu
1007,tertinggal,kecag 
1008,tertinggal,makutang
1009,tertinggal,mekalin
1010,tidak,sing
1011,tidak,tusing
1012,tidak,tusing 
1013,tidak aman,sing aman
1014,tidak aman,tsing aman 
1015,tidak aman,tusing aman
1016,tinggal,kalahin 
1017,tinggal,kalin
1018,tinggal,kutang
1019,tinggal,nengil
1020,tingkat,pangkat 
1021,tingkat,tingkat
1022,tingkat,undag
1023,tragedi,singkaon 
1024,tragedi,tragedi
1025,trauma, 
1026,trauma,trauma
1027,tubuh,awak
1028,tubuh,awak 
1029,tubuh,raga
1030,tuduhan,dalih 
1031,tuduhan,tuduhan
1032,tukang jualan,anak medagang 
1033,tukang jualan,dagang
1034,tumpas, 
1035,tumpas,tumpas
1036,tunda,andeg 
1037,tunda,tunda
1038,tunggu,antiang 
1039,tunggu,antos
1040,turun,tuun
1041,turun,tuun 
1042,tutup,nutup 
1043,tutup,tekep
1044,uang,pipis 
1045,uang,pis
1046,untung,bati
1047,untung,bati 
1048,utuh,tileh
1049,utuh,tileh 
1050,wajib, 
1051,wajib,sepatutne
1052,wajib,wajib
1053,waspada,jagra
1054,waspada,waspada
1055,wow, 
1056,wow,wow
1057,ya,ae
1058,ya,inggih
1059,ya,inggih 
1060,ya,nggih
1061,yakin,seken
1062,yakin,seken 
