abu,ash,cinder,char,dust,,,,,,
adopsi,adoption,,,,,,,,,
aduh,Ouch,ow,oh man,oof,oh no,oh God,,,,
aktif,active,,,,,,,,,
aku,I,me,,,,,,,,
alam,Nature,essence,,,,,,,,
alasan,Reason,cause,argument,ground,motivation,excuse,rationale,reasoning,,
aman,safe,secure,peaceful,,,,,,,
amat,very,really,so,extremely,vastly,terribly,wonderfully,exceedingly,incredibly,disturbingly
ambil,take,pick up,grab,get,get,,,,,
ancam,threaten,intimidate,scare off,snarl,,,,,,
ancaman,threat,intimidation,scare tactics,danger,menace,,,,,
aneh,weird,bizarre,strange,odd,quaint,abnormal,peculiar,curious,uncanny,funny
anehnya,strangely,weirdly,bizarrely,oddly,,,,,,
anggun,elegant,graceful,proper,prim,,,,,,
anti,anti-,contra-,,,,,,,,
antisipasi,anticipation,,,,,,,,,
api,fire,flame,blaze,,,,,,,
apresiasi,appreciation,,,,,,,,,
asing,foreign,strange,alien,non-native,exotic,different,,,,
asyik,fun,hooray,yay,,,,,,,
badass,badass,awesome,chad,alpha,,,,,,
bagi,share,give away,,,,,,,,
bagus,good,great,awesome,amazing,beautiful,nice,fine,excellent,wonderful,
bahagia,happy,cheerful,content,,,,,,,
bahaya,danger,harm,challenge,risk,,,,,,
baik,good,nice,decent,kind,well,okay,,,,
ban,tire,,,,,,,,,
bangga,proud,,,,,,,,,
bantu,help,give a hand,lend a hand,assist,,,,,,
batal,cancel,null,not happening,abandon,call off,,,,,
batas,limit,boundary,line,border,bounds,,,,,
bebas,free,open,candid,,,,,,,
beberapa,few,some,many,a number of,several,certain,a bunch of,,,
bela,defend,protect,care,,,,,,,
belakang,behind,back,rear,hind,,,,,,
benar,right,correct,TRUE,valid,,,,,,
bencana,disaster,catastrophe,tragedy,,,,,,,
benci,hate,despise,loathe,resent,detest,abhor,can't stand,dislike,,
berani,brave,bold,daring,gutsy,tough,gallant,courageous,valiant,manly,spunky
berarti,meaningful,significant,valuable,useful,matters,counts,,,,
berat,heavy,weighty,difficult,complicated,serious,tough,weight,heft,,
berbahaya,dangerous,harmful,deadly,bad news,risky,hazardous,fatal,unsafe,threatening,challenging
berdarah,bloody,gory,bleed,,,,,,,
berdoa,pray,hope,worship,,,,,,,
berduka,mourn,,,,,,,,,
berguna,useful,handy,beneficial,of use,,,,,,
berhak,entitled,have the right to,reserve the right to,,,,,,,
berharap,hope,cross fingers,expect,,,,,,,
beri,give,berry,,,,,,,,
berkomitmen,commited,,,,,,,,,
berlebihan,excessive,too much,overkill,,,,,,,
bermanfaat,beneficial,useful,of use,fruitful,productive,advantageous,helpful,worthwhile,,
bersaing,compete,contend,face off,,,,,,,
bersama,together,with,in conjunction with,in collaboration with,together with,,,,,
bersedih,sad,grieve,mourn,heartbroken,,,,,,
bersembunyi,hiding,lurking,sheltering,lying low,,,,,,
bersorak,cheering,shouting,yelling,screaming,squealing,,,,,
besar,bug,large,huge,humongous,enormous,significant,major,substantial,grand,great
biadab,savage,wild,inhuman,uncivilized,uneducated,animalistic,barbaric,,,
biaya,cost,fee,expense,charge,price,money,,,,
bingung,confused,puzzled,perplexed,baffled,,,,,,
bodoh,dumb,stupid,idiot,foolish,ignorant,brainless,silly,braindead,dense,fool
bohong,lie,fabricate,deceive,,,,,,,
bom,bomb,explosive,,,,,,,,
buka,open,,,,,,,,,
bunga,flower,flora,interest,,,,,,,
bungkam,silence,,,,,,,,,
bunuh,kill,murder,slay,assassinate,off,snuff,cut,,,
bunuh diri,suicide,kill oneself,,,,,,,,
buruk,bad,awful,ugly,poor,horrible,nasty,terrible,rotten,foul,ill
buta,blind,sightless,eyeless,,,,,,,
cantik,beautiful,pretty,lovely,attractive,fair,,,,,
capai,achieve,tired,weary,reach,,,,,,
cari,look for,search,,,,,,,,
cedera,injury,,,,,,,,,
cegah,prevent,stop,,,,,,,,
cemas,worried,concerned,anxious,on edge,,,,,,
cepat,quick,fast,swift,rapid,prompt,snappy,speedy,nimble,,
cerdas,smart,clever,intelligent,bright,brainy,big-brained,sharp-witted,brilliant,shrewd,astute
cinta,love,,,,,,,,,
cium,kiss,smooch,smell,sniff,,,,,,
cocok,fit,suitable,compatible,appropriate,right,match,,,,
copet,thief,pickpocket,purse snatcher,,,,,,,
damai,peaceful,,,,,,,,,
dapat,can,get,able,acquire,,,,,,
daya,power,energy,,,,,,,,
diabaikan,ignored,abandoned,disregarded,left,,,,,,
diam,quiet,silent,idle,,,,,,,
diancam,threatened,intimidated,,,,,,,,
dibersihkan,cleaned,tidied,taken care of,,,,,,,
dicuri,stolen,snatched,,,,,,,,
dihukum,punished,,,,,,,,,
dikalahkan,defeated,beaten,outmatched,outplayed,,,,,,
dipercaya,trusted,,,,,,,,,
dipermalukan,humiliated,,,,,,,,,
dipertanyakan,questionable,put into question,,,,,,,,
diprovokasi,provoked,riled up,agitated,aggravated,,,,,,
disebut-sebut,said,mentioned,rumored,,,,,,,
ditakuti,feared,infamous,,,,,,,,
ditangkap,arrested,captured,apprehended,jailed,seized,secured,restrained,detained,imprisoned,incarcerated
diteror,terrorized,intimidated,,,,,,,,
ditinggalkan,left behind,left,abandoned,discarded,dropped,neglected,,,,
ditingkatkan,improved,upgraded,enhanced,,,,,,,
dituduh,accused,charged,,,,,,,,
ditunda,postponed,delayed,adjourned,,,,,,,
doa,prayer,,,,,,,,,
doktrin,doctrine,teachings,axiom,belief,,,,,,
duka,sorrow,grief,mourning,woe,,,,,,
dukung,support,endorse,approve,,,,,,,
dukungan,support,endorsement,,,,,,,,
efektif,effective,,,,,,,,,
eksklusif,exclusive,special,certain,particular,specific,,,,,
empati,empathy,feelings,understanding,compassion,sympathy,,,,,
fitnah,slander,lie,defamation,smear,denigration,vilification,,,,
fokus,focus,concentrate,point,purpose,,,,,,
gagah,strong,manly,brave,bold,lion-hearted,dashing,gallant,valiant,muscular,brawny
gagal,fail,flop,collapse,bomb,flunk,,,,,
gampang,easy,simple,piece of cake,ez,straightforward,convenient,,,,
ganggu,annoy,disturb,bother,mess with,,,,,,
gaya,style,fashion,trend,manner,way,,,,,
gelap,dark,murky,illegal,illicit,shady,shadowy,tan,,,
gentar,tremble,quiver,scared,afraid,intimidated,,,,,
gertak,bluff,snarl,threaten,scare off,,,,,,
gila,crazy,nuts,off the rocker,insane,mad,lunatic,rabid,out of mind,maniac,bonkers
guncang,shake,rattle,jolt,shudder,,,,,,
guncangan,shock,quake,,,,,,,,
ha,ha,lol,huh,what,wdym,,,,,
habis,run out,all out,finished,over,,,,,,
hal,matter,thing,case,regard,stuff,,,,,
hancur,broken,destroyed,wrecked,smashed,busted up,,,,,
hantu,ghost,spirit,spectre,apparition,spook,shadow,,,,
harapan,hope,expectation,prospect,,,,,,,
harga,price,cost,value,rate,worth,,,,,
harta,treasure,wealth,riches,,,,,,,
hasil,result,outcome,product,payoff,fruit,,,,,
hati,heart,feeling,liver,soul,,,,,,
hati-hati,careful,safely,wary,beware,cautious,mindful,conscious,,,
hebat,great,awesome,superb,terrific,impressive,splendid,excellent,extraordinary,amazing,remarkable
heboh,lively,exciting,up in arms,noisy,,,,,,
heroik,heroic,,,,,,,,,
hidup,life,existence,live,exist,,,,,,
hilang,gone,lost,disappear,vanish,missing,,,,,
hukum,law,,,,,,,,,
ikut,join,follow,take part,engage,partake,go along,go in,string along,,
ilham,revelation,inspiration,epiphany,,,,,,,
iman,faith,belief,creed,,,,,,,
indah,beautiful,lovely,picturesque,magnificent,sightly,breathtaking,,,,
ingat,remember,have in mind,,,,,,,,
ingin,want,wanna,wish,desire,would like,aspire,,,,
interogasi,interrogation,questioning,,,,,,,,
isi,content,filling,inside,body,,,,,,
istimewa,special,exclusive,different,preferential,priviledged,,,,,
jahat,bad,evil,wicked,malicious,diabolical,sinister,corrupt,devilish,scummy,villanous
jamin,guarantee,assure,,,,,,,,
jatuh,fall off,fall down,tumble,crash,trip,slip up,fall over,collapse,,
jawab,answer,reply,respond,,,,,,,
jaya,glorious,victorious,prosperous,triumphant,,,,,,
jelas,obvious,clear,evident,plain,vivid,explicit,transparent,definite,sure,certain
jelek,ugly,bad,poor,shoddy,crummy,lousy,horrible,terrible,apalling,shitty
jenis,kind,variety,type,,,,,,,
jual,sell,offer,,,,,,,,
kalah,lose,beaten,fail,owned,,,,,,
kalimat,sentence,clause,,,,,,,,
kapal,ship,vessel,boat,craft,canoe,ark,,,,
karya,work,creation,opus,product,,,,,,
kasihan,pity,feel sorry,,,,,,,,
kaya,rich,wealthy,well-off,prosperous,well-to-do,stacked,,,,
keadilan,justice,fairness,,,,,,,,
keamanan,security,safety,,,,,,,,
kebaikan,goodness,kindness,virtue,good deed,charity,generosity,amicability,cordiality,,
kebencian,hatred,hate,resentment,loathing,hostility,malice,enmity,distaste,aversion,disgust
keberanian,courage,bravery,guts,nerve,balls,audacity,valor,spunk,boldness,fearlessness
kebetulan,coincidence,accident,fluke,luck,chance,,,,,
kecewa,disappoint,let down,,,,,,,,
kehancuran,destruction,downfall,undoing,ruination,,,,,,
kehilangan,lost,missing,,,,,,,,
kejahatan,evil,crime,harm,wickedness,villainy,atrocity,misdeed,offence,,
kejam,cruel,heartless,ruthless,brutal,savage,diabolical,heinous,barbaric,cutthroat,vicious
keji,vile,brutal,vicious,nasty,despicable,villainous,foul,wicked,,
kekayaan,wealth,riches,fortune,money,earnings,,,,,
kekerasan,violence,,,,,,,,,
kekuatan,power,strength,might,capacity,energy,force,fortitude,,,
kelaparan,hunger,famine,starving,,,,,,,
keluar,go out,exit,escape,get out,step outside,book it out,run,,,
kematian,death,demise,mortality,,,,,,,
kembali,return,come back,go back,revert,turn back,change,,,,
kena,get hit,affected,infected with,,,,,,,
kenal,know,familiar with,acquainted with,,,,,,,
kenyamanan,comfort,convenience,ease,cosiness,amenity,,,,,
kepentingan,interest,benefit,concerns,behalf,importance,significance,prominence,,,
keras,hard,tough,strong,solid,stiff,rigid,harsh,strict,stern,rigorous
keren,cool,awesome,amazing,stylish,fashionable,sharp,badass,rad,gnarly,dashing
kerugian,loss,detriment,disadvantage,shortcoming,,,,,,
kerusakan,damage,harm,decay,,,,,,,
kesalahan,mistake,error,fault,failure,wrongdoing,,,,,
kesan,impression,image,,,,,,,,
kesempatan,chance,opportunity,occasion,avenue,,,,,,
kesepian,lonely,lonesome,forlorn,loneliness,solitude,,,,,
kesulitan,difficulty,challenge,trouble,hardship,adversity,distress,complication,impediment,problem,issue
ketakutan,fear,fright,dread,horror,,,,,,
ketat,tight,strict,close-fitting,form-fitting,skin-tight,,,,,
ketegangan,tension,suspense,tensity,strain,,,,,,
kompak,unified,cohesive,solid,,,,,,,
konflik,conflict,dispute,strife,friction,quarrel,controversy,clash,discord,argument,squabbling
konspirasi,conspiracy,machinations,collusion,intrigue,,,,,,
korban,victim,sacrifice,scapegoat,,,,,,,
korban jiwa,fatalities,victim,,,,,,,,
kosong,empty,blank,vacant,hollow,vacuous,zero,,,,
kotor,dirty,filthy,gross,grubby,foul,unclean,nasty,grimy,messy,smudgy
kuat,strong,powerful,tough,steady,durable,firm,,,,
kurang,not enough,less,deficient,minus,,,,,,
kutuk,curse,damn,,,,,,,,
kutukan,curse,damning,condemnation,,,,,,,
langgar,violate,infringe,defy,,,,,,,
larang,forbid,ban,prohibit,,,,,,,
larangan,prohibition,ban,,,,,,,,
lawan,take on,go against,versus,contra,against,contender,foe,rival,contestant,contradictor
layak,suitable,appropriate,feasible,proper,reasonable,decent,worthy,,,
lebih,more,over,,,,,,,,
lebih baik,better,preferable,,,,,,,,
lembut,soft,delicate,tender,fluffy,creamy,,,,,
lengkap,complete,full,perfect,intact,unabridged,comprehensive,exhaustive,thorough,,
lenyap,vanish,disappear,gone,evaporate,,,,,,
lewat,pass through,go past,go by,slip by,come through,come by,miss,,,
lihat,see,watch,observe,witness,view,look,,,,
lmao,lmao,lol,,,,,,,,
luar biasa,extraordinary,incredible,exceptional,unbelievable,remarkable,fantastic,terrific,phenomenal,cut above,super
lucu,funny,hilarious,humorous,amusing,silly,gaga,comical,cute,,
luka,scar,wound,cut,injury,,,,,,
lupa,forget,,,,,,,,,
maaf,sorry,pardon,excuse,,,,,,,
mahal,expensive,pricey,extravagant,costly,lavish,upscale,,,,
mampu,capable,competent,adequate,well-off,,,,,,
marah,angry,mad,seethe,furious,upset,resentful,enraged,exasperated,irate,outraged
masalah,problem,issue,matter,thing,,,,,,
mati,die,meet one's maker,perish,go out,kick the bucket,dead,,,,
mayat,corpse,body,remains,cadaver,,,,,,
melakukan,do,perform,make,carry out,execute,pull off,,,,
melanggar,violate,break,infringe,transgress,defy,,,,,
melemahkan,weaken,debilitate,impair,soften,,,,,,
melindungi,protect,guard,shield,secure,cover,preserve,,,,
melumpuhkan,cripple,impair,debilitate,disable,stifle,immobilize,paralize,,,
memastikan,confirm,make sure,ensure,assure,ascertain,determine,settle,,,
membahayakan,endanger,jeopardize,harm,compromise,,,,,,
membantu,help,assist,aid,support,lend a hand,contribute,,,,
membatalkan,cancel,call off,withdraw,rescind,annul,,,,,
membenci,hate,despise,loathe,dislike,,,,,,
membuka,open,begin,start,,,,,,,
membunuh,kill,murder,slay,snuff,off,assassinate,destroy,smite,dispatch,finish off
memerangi,oppose,fight,battle,combat,contend,withstand,resist,counter,fight back,be against
mempertanyakan,question,doubt,ponder,suspect,,,,,,
memuji,compliment,praise,commend,flatter,,,,,,
menahan,resist,hold back,withhold,keep under control,withstand,suppress,arrest,detain,sustain,fight back
menanti,wait,look forward,expect,,,,,,,
menarik,interesting,intriguing,riveting,eye-catching,attractive,alluring,enticing,appealing,,
mencurigakan,suspicious,sus,fishy,,,,,,,
mendapatkan,get,obtain,gain,receive,acquire,win,attain,,,
menderita,suffer,endure,anguish,,,,,,,
mendoktrin,indoctrinate,,,,,,,,,
mendorong,push,shove,encourage,drive,boost,propel,prompt,motivate,compel,stimulate
mendukung,support,promote,bolster,back up,aid,help out,contribute,stick up,,
mendung,cloudy,clouded,gloomy,,,,,,,
menembak,shoot,,,,,,,,,
menerima,accept,receive,take,get,,,,,,
mengakui,admit,recognize,acknowledge,confess,profess,own up,fess up,,,
mengamankan,secure,pacify,prosecute,hold in,arrest,detain,apprehend,,,
mengeluarkan,get out,throw out,pull out,eject,release,expel,dish out,,,
mengembalikan,return,restore,bring back,give back,send back,,,,,
mengerikan,scary,terrifying,horrifying,bone-chilling,gruesome,morbid,nightmarish,unnerving,dreadful,horrific
menghancurkan,destroy,break,crush,smash,ruin,demolish,wreck,tear,shatter,devastate
menghargai,appreciate,value,treasure,cherish,respect,reward,commend,honor,prize,give credit
menghindari,avoid,dodge,evade,elude,keep away,run from,,,,
mengusir,kick out,cast out,drive away,evict,banish,oust,dislodge,repel,shoo away,throw out
mengutuk,curse,damn,condemn,,,,,,,
meninggal,die,pass away,decease,depart,lose one's life,,,,,
meningkatkan,improve,up,increase,upgrade,escalate,jack up,intensify,,,
menolak,decline,deny,refuse,reject,turn down,dismiss,,,,
menunggu,wait,bide time,stand by,anticipate,expect,,,,,
menurunkan,reduce,lower,decrease,down,dial down,put down,bring down,drop,lower,drop off
menyadari,realize,be aware,wise up,come to sense,wake up,,,,,
menyalahkan,blame,fault,accuse,throw under the bus,put on the spot,,,,,
menyambut,welcome,greet,,,,,,,,
menyebabkan,causing,leading to,bring about,give rise to,,,,,,
menyerang,attack,strike,assault,rush,charge,hit,,,,
menyeret,drag,haul,lug,tow,,,,,,
menyesatkan,misleading,,,,,,,,,
menyita,confiscate,seize,,,,,,,,
meragukan,doubt,question,suspect,,,,,,,
meruntuhkan,tear down,overthrow,demolish,knock down,raze,,,,,
minta,ask for,request,,,,,,,,
minta maaf,apologize,excuse oneself,I'm sorry,Pardon me,,,,,,
miskin,poor,broke,impoverished,destitute,,,,,,
moga,hope,,,,,,,,,
muda,young,,,,,,,,,
mudah,easy,ez,simple,straightforward,,,,,,
muka,face,look,mug,countenance,visage,,,,,
mulia,glorious,noble,holy,esteemed,honorable,,,,,
mundur,step back,back off,go back,fall back,retreat,,,,,
murah,cheap,inexpensive,affordable,generous,,,,,,
murka,furious,angry,mad,,,,,,,
musuh,enemy,opponent,foe,adversary,rival,competitor,contender,,,
nanti,later,in the future,some other time,,,,,,,
nekat,reckless,desperate,,,,,,,,
neraka,hell,,,,,,,,,
ngeri,scary,spooky,,,,,,,,
ngerti,understand,get it,,,,,,,,
nilai,score,grade,mark,value,worth,,,,,
oke,okay,ok,okey dokey,,,,,,,
oleh,by,,,,,,,,,
orang bodoh,idiot,doofus,dumbass,goof,schmuck,dunce,birdbrain,pinhead,nincompoop,dummy
pada,on,you all,,,,,,,,
padat,solid,dense,compact,tight,,,,,,
pahlawan,hero,patriot,,,,,,,,
palsu,fake,imitation,counterfeit,bogus,phony,sham,dummy,FALSE,artificial,made-up
panas,hot,burning,warm,flaming,scorching,heat,temperature,,,
panik,panic,,,,,,,,,
panjang,long,lengthy,extensive,length,,,,,,
pantat,butt,buttocks,ass,asscheeks,bum,rear,backside,behind,arse,bottom
parodi,parody,travesty,farce,,,,,,,
pasti,sure,certain,definite,fixed,absolute,,,,,
pecah,shattered,broken,busted,popped,burst,,,,,
peduli,care,,,,,,,,,
pelaku,culprit,perpetrator,perp,player,performer,,,,,
pelaku kejahatan,criminal,perpetrator,perp,culprit,,,,,,
pembela,defender,protector,vindicator,apologist,,,,,,
pemberani,daring,daredevil,interpid,,,,,,,
pemberontakan,rebellion,uprising,revolt,insurgency,betrayal,,,,,
penangkapan,arrest,capture,interception,apprehension,trapping,,,,,
pendukung,supporter,proponent,backer,,,,,,,
penembakan,shooting,,,,,,,,,
pengecut,coward,sissy,chicken,,,,,,,
pengunjung,guest,visitor,,,,,,,,
penjara,prison,jail,lockup,ward,cage,slammer,gaol,brig,penitentiary,big house
penting,important,significant,prominent,notable,monumental,consequential,urgent,,,
penuh,full,whole,complete,crowded,packed,,,,,
penularan,infection,transmission,spread,contagion,,,,,,
penyelamat,rescuer,savior,,,,,,,,
penyelidikan,investigation,,,,,,,,,
perampok,robber,mugger,hijacker,plunderer,,,,,,
perang,war,battle,,,,,,,,
perasaan,feeling,sense,sentiment,heart,,,,,,
percaya,trust,believe,,,,,,,,
perdamaian,peace,,,,,,,,,
peringatan,warning,heads up,notice,memorial,commemoration,remembrance,tip-off,,,
perjuangan,struggle,fight,effort,,,,,,,
pertanyaan,question,query,,,,,,,,
pertempuran,battle,warfare,fight,combat,,,,,,
pikir,think,wonder,ponder,,,,,,,
pintar,smart,clever,witty,big-brained,brainy,cunning,intelligent,bright,apt,sharp-witted
populer,popular,,,,,,,,,
positif,positive,,,,,,,,,
potong,cut,slice,,,,,,,,
puja,worship,,,,,,,,,
puji,praise,,,,,,,,,
pukul,hit,punch,strike,o'clock,,,,,,
pulih,recover,get well,revert,restore,,,,,,
pura,temple,shrine,,,,,,,,
pusing,dizzy,headache,,,,,,,,
racun,poison,toxin,venom,,,,,,,
rahmat,blessing,grace,godsend,,,,,,,
rampas,steal,snatch,yank,rob,take away,yoink,,,,
ras,race,people,ethnicity,,,,,,,
raya,grand,great,big,large,,,,,,
rela,willing,compliant,accepting,,,,,,,
rindu,miss,longing,yearning,lonesome,,,,,,
runtuh,collapse,fall apart,fall down,tumblin down,cave in,,,,,
sadar,aware,conscious,awake,mindful,sensible,cognizant,realize,know,recognize,come round
saham,stock,share,holdings,,,,,,,
sakit,sick,ill,sore,pain,hurt,,,,,
salah,wrong,incorrect,FALSE,mistaken,off,erroneous,amiss,,,
salam,greeting,salutation,regards,,,,,,,
salut,salute,,,,,,,,,
sama,same,with,,,,,,,,
samping,side,,,,,,,,,
sangat,very,really,highly,extremely,greatly,exceptionally,most,immensely,terribly,sorely
santai,relax,chill,lounge,sit around,,,,,,
sapa,greet,who,,,,,,,,
saran,advice,suggestion,recommendation,offer,proposition,idea,,,,
sayang,dear,darling,beloved,baby,honey,sugar,love,care,shame,pity
sebab,cause,reason,motive,because,since,in that,for,,,
sebut,mention,say,call out,speak of,,,,,,
sedih,sad,miserable,depressed,dejected,unhappy,bitter,heartbroken,,,
segan,reluctant,,,,,,,,,
selamat,congratulations,safe,,,,,,,,
selesai,over,finish,complete,wrap up,close,,,,,
semangat,spirit,passion,oomph,vigor,,,,,,
sembunyi,hide,lay low,,,,,,,,
semoga,hopefully,may,,,,,,,,
sempat,have time,still able to,,,,,,,,
senang,happy,pleased,glad,have fun,like,love,fond of,,,
sendiri,alone,by oneself,unaccompanied,single,solo,,,,,
senjata,weapon,arms,gear,,,,,,,
senyum,smile,grin,,,,,,,,
seperti,like,similar to,as though,as if,,,,,,
sepi,quiet,deserted,desolate,lonely,lonesome,empty,,,,
seragam,uniform,same,even,,,,,,,
seram,scary,spooky,grim,eerie,bone-chilling,,,,,
serang,attack,strike,charge,assault,rush,,,,,
serangan,attack,assault,strike,raid,blow,hit,,,,
serikat,union,league,confederation,united,,,,,,
siap,ready,prepared,set,steady,,,,,,
sigap,spry,wide-awake,steady,,,,,,,
silahkan,Please,If you will,After you,,,,,,,
simpati,Sympathy,,,,,,,,,
simpatik,sympathetic,,,,,,,,,
solidaritas,solidarity,,,,,,,,,
sopan,polite,respectful,civil,proper,refined,well-mannered,genteel,decent,nice,kind
stres,stress,,,,,,,,,
striker,striker,,,,,,,,,
suap,bribe,incentive,something extra,brown envelope,sweetener,graft,hush money,tip,,
suka,like,love,adore,fond of,fancy,enjoy,,,,
sulit,difficult,tricky,complicated,hard,tough,arduous,troublesome,intricate,uphill,convoluted
super,super,really,very,,,,,,,
surga,heaven,paradise,nirvana,Valhalla,Eden,,,,,
susah,difficult,troublesome,inconvenient,poor,,,,,,
tabah,resilient,steadfast,tough,patient,determined,gritty,enduring,,,
tabrak,crash,,,,,,,,,
tahan,hold in,suppress,withstand,bear,persist,resist,put up with,tolerate,stand,take it
tahanan,prisoner,custody,captive,detainee,hostage,inmate,,,,
tak kalah,not lose,not to be outdone,not too shabby,not half bad,able to compete,,,,,
takut,scared,afraid,spooked,fearful,shivering,shaking,,,,
tanggung jawab,responsibility,duty,commitment,,,,,,,
tangis,cry,weeping,mourning,howl,wail,sob,,,,
tangkap,capture,catch,arrest,,,,,,,
tantangan,challenge,dare,,,,,,,,
tanya,ask,inquire,,,,,,,,
tegang,tense,stiff,uptight,nervous,anxious,,,,,
tegas,assertive,firm,decisive,resolute,bold,decided,dominant,,,
tembak,shoot,gun,blast,,,,,,,
tempur,combat,war,battle,,,,,,,
tenang,calm,quiet,chill,tranquil,peaceful,serene,,,,
tenggelam,drown,sink,go down,go under,,,,,,
tentang,about,regarding,concerning,pertaining to,in regards to,,,,,
tentu,of course,absolute,fixed,certain,,,,,,
teramat,really,very,incredibly,terribly,immensely,,,,,
terbesar,biggest,largest,,,,,,,,
terbunuh,killed,slain,murdered,mugged,slaughtered,snuffed out,cut down,taken care of,,
terganggu,annoyed,bothered,disturbed,upset,agitated,,,,,
tergantung,depends on,hinges on,,,,,,,,
teriak,scream,shout,yell,cry,call,,,,,
teriakan,scream,shout,yell,cry,call,,,,,
terima,accept,,,,,,,,,
terima kasih,thank you,thanks,thx,ty,,,,,,
terimakasih,thank you,thanks,thx,ty,,,,,,
terkejut,surprised,shock,startled,taken aback,mind blown,,,,,
terkena,caught,got,struck,stricken,affected,infected,,,,
terluka,hurt,wounded,injured,,,,,,,
teror,terror,,,,,,,,,
terpengaruh,influenced,affected,persuaded,swayed,,,,,,
tersangka,suspect,defendant,the accused,,,,,,,
tersinggung,offended,triggered,insulted,,,,,,,
tertarik,interested,fascinated,attracted,,,,,,,
tertentu,certain,specific,particular,,,,,,,
tertinggal,left behind,,,,,,,,,
tidak,no,,,,,,,,,
tidak aman,unsafe,not safe,,,,,,,,
tinggal,stay,live,reside,remain,just,,,,,
tingkat,level,degree,stage,extent,grade,tier,class,floor,,
tragedi,tragedy,,,,,,,,,
trauma,trauma,,,,,,,,,
tubuh,body,physisque,,,,,,,,
tuduhan,accusation,allegation,indictment,charge,,,,,,
tukang jualan,merchant,peddler,salesman,street vendor,,,,,,
tumpas,destroy,eradicate,eliminate,cut down,,,,,,
tunda,delay,cancel,postpone,hold up,,,,,,
tunggu,wait,,,,,,,,,
turun,down,go down,descennding,drop down,step down,fall off,,,,
tutup,close,closed,cap,lid,top,cover,,,,
uang,money,cash,funds,dough,stacks,buck,nickel,,,
untung,profit,gain,fortune,good luck,,,,,,
utuh,whole,intact,perfect,undamaged,,,,,,
wajib,must,mandatory,obligatory,required,,,,,,
waspada,beware,alert,wary,careful,caution,,,,,
wow,wow,whoa,whoo,,,,,,,
ya,yes,ye,yas,uh huh,yep,yup,yea,aye,ay,yeah
yakin,sure,certain,assured,confident,,,,,,
