,indonesian,english
0,abu,ash
1,abu,char
2,abu,cinder
3,abu,dust
4,adopsi,adoption
5,aduh,oh god
6,aduh,oh man
7,aduh,oh no
8,aduh,oof
9,aduh,ouch
10,aduh,ow
11,aktif,active
12,aktif,dynamic
13,aktif,lively
14,aku,i
15,aku,me
16,alam,essence
17,alam,nature
18,alasan,argument
19,alasan,cause
20,alasan,excuse
21,alasan,ground
22,alasan,motivation
23,alasan,motive
24,alasan,rationale
25,alasan,reason
26,alasan,reasoning
27,aman,peaceful
28,aman,safe
29,aman,secure
30,amat,disturbingly
31,amat,enormous
32,amat,exceedingly
33,amat,extremely
34,amat,greatly
35,amat,incredibly
36,amat,most
37,amat,really
38,amat,so
39,amat,super
40,amat,terribly
41,amat,tremendous
42,amat,vastly
43,amat,very
44,amat,well
45,amat,wonderfully
46,ambil,get
47,ambil,grab
48,ambil,pick up
49,ambil,take
50,ancam,intimidate
51,ancam,scare off
52,ancam,snarl
53,ancam,threaten
54,ancaman,danger
55,ancaman,intimidation
56,ancaman,menace
57,ancaman,scare tactics
58,ancaman,threat
59,aneh,abnormal
60,aneh,bizarre
61,aneh,curious
62,aneh,eccentric
63,aneh,funny
64,aneh,odd
65,aneh,peculiar
66,aneh,quaint
67,aneh,strange
68,aneh,uncanny
69,aneh,unusual
70,aneh,weird
71,anehnya,abnormally
72,anehnya,bizarrely
73,anehnya,eccentricly
74,anehnya,oddly
75,anehnya,peculiarly
76,anehnya,strangely
77,anehnya,unusually
78,anehnya,weirdly
79,anggun,elegant
80,anggun,graceful
81,anggun,prim
82,anggun,proper
83,anti,anti
84,anti,anti-
85,anti,contra-
86,antisipasi,anticipation
87,api,blaze
88,api,fire
89,api,flame
90,api,light
91,apresiasi,appreciation
92,asing,alien
93,asing,different
94,asing,exotic
95,asing,foreign
96,asing,non-native
97,asing,strange
98,asyik,fun
99,asyik,hooray
100,asyik,yay
101,badass,alpha
102,badass,awesome
103,badass,badass
104,badass,chad
105,bagi,divide
106,bagi,for
107,bagi,give away
108,bagi,share
109,bagi,to
110,bagus,amazing
111,bagus,awesome
112,bagus,beautiful
113,bagus,excellent
114,bagus,fine
115,bagus,good
116,bagus,great
117,bagus,nice
118,bagus,wonderful
119,bahagia,cheerful
120,bahagia,content
121,bahagia,happy
122,bahaya,challenge
123,bahaya,danger
124,bahaya,harm
125,bahaya,hazard
126,bahaya,risk
127,baik,decent
128,baik,good
129,baik,kind
130,baik,nice
131,baik,okay
132,baik,well
133,ban,belt
134,ban,tire
135,bangga,proud
136,bantu,assist
137,bantu,give a hand
138,bantu,help
139,bantu,lend a hand
140,batal,abandon
141,batal,call off
142,batal,cancel
143,batal,cancell
144,batal,invalid
145,batal,not happening
146,batas,border
147,batas,boundary
148,batas,bounds
149,batas,limit
150,batas,line
151,bebas,candid
152,bebas,free
153,bebas,independent
154,bebas,open
155,beberapa,a bunch of
156,beberapa,a number of
157,beberapa,certain
158,beberapa,couple
159,beberapa,few
160,beberapa,many
161,beberapa,several
162,beberapa,some
163,bela,care
164,bela,defend
165,bela,protect
166,belakang,back
167,belakang,behind
168,belakang,hind
169,belakang,rear
170,benar,accurate
171,benar,correct
172,benar,right
173,benar,true
174,benar,valid
175,bencana,catastrophe
176,bencana,disaster
177,bencana,tragedy
178,benci,abhor
179,benci,can't stand
180,benci,despise
181,benci,detest
182,benci,dislike
183,benci,hate
184,benci,loathe
185,benci,resent
186,berani,bold
187,berani,brave
188,berani,courageous
189,berani,daring
190,berani,gallant
191,berani,gutsy
192,berani,manly
193,berani,spunky
194,berani,tough
195,berani,valiant
196,berarti,counts
197,berarti,matters
198,berarti,meaningful
199,berarti,significant
200,berarti,useful
201,berarti,valuable
202,berat,complicated
203,berat,difficult
204,berat,heavy
205,berat,heft
206,berat,serious
207,berat,severe
208,berat,tough
209,berat,weight
210,berat,weighty
211,berbahaya,bad news
212,berbahaya,challenging
213,berbahaya,dangerous
214,berbahaya,deadly
215,berbahaya,fatal
216,berbahaya,harmful
217,berbahaya,hazardous
218,berbahaya,risky
219,berbahaya,threatening
220,berbahaya,unsafe
221,berdarah,bleed
222,berdarah,bloody
223,berdarah,gory
224,berdoa,hope
225,berdoa,pray
226,berdoa,worship
227,berduka,mourn
228,berduka,sorrow
229,berguna,beneficial
230,berguna,handy
231,berguna,helpful
232,berguna,of use
233,berguna,useful
234,berhak,entitled
235,berhak,have the right to
236,berhak,reserve the right to
237,berhak,rightful
238,berharap,cross fingers
239,berharap,expect
240,berharap,hope
241,beri,berry
242,beri,give
243,berkomitmen,commited
244,berkomitmen,committed
245,berlebihan,excessive
246,berlebihan,obsessive
247,berlebihan,overkill
248,berlebihan,too much
249,bermanfaat,advantageous
250,bermanfaat,benefecial
251,bermanfaat,beneficial
252,bermanfaat,fruitful
253,bermanfaat,helpful
254,bermanfaat,of use
255,bermanfaat,productive
256,bermanfaat,useful
257,bermanfaat,worthwhile
258,bersaing,compete
259,bersaing,competitive
260,bersaing,contend
261,bersaing,face off
262,bersama,in collaboration with
263,bersama,in conjunction with
264,bersama,together
265,bersama,together with
266,bersama,with
267,bersedih,grieve
268,bersedih,heartbroken
269,bersedih,mourn
270,bersedih,sad
271,bersembunyi,hide
272,bersembunyi,hiding
273,bersembunyi,lurking
274,bersembunyi,lying low
275,bersembunyi,sheltering
276,bersorak,cheer
277,bersorak,cheering
278,bersorak,screaming
279,bersorak,shout
280,bersorak,shouting
281,bersorak,squealing
282,bersorak,yelling
283,besar,big
284,besar,bug
285,besar,bulky
286,besar,enormous
287,besar,grand
288,besar,great
289,besar,huge
290,besar,humongous
291,besar,large
292,besar,major
293,besar,significant
294,besar,substantial
295,biadab,animalistic
296,biadab,barbaric
297,biadab,inhuman
298,biadab,savage
299,biadab,uncivilized
300,biadab,uneducated
301,biadab,wild
302,biaya,charge
303,biaya,cost
304,biaya,expense
305,biaya,fee
306,biaya,money
307,biaya,price
308,bingung,baffled
309,bingung,confuse
310,bingung,confused
311,bingung,perplexed
312,bingung,puzzled
313,bodoh,braindead
314,bodoh,brainless
315,bodoh,dense
316,bodoh,dumb
317,bodoh,fool
318,bodoh,foolish
319,bodoh,idiot
320,bodoh,ignorant
321,bodoh,silly
322,bodoh,stupid
323,bohong,deceive
324,bohong,fabricate
325,bohong,lie
326,bom,bomb
327,bom,explosive
328,buka,open
329,bunga,flora
330,bunga,flower
331,bunga,interest
332,bungkam,quiet
333,bungkam,silence
334,bungkam,silent
335,bunuh,assassinate
336,bunuh,cut
337,bunuh,kill
338,bunuh,murder
339,bunuh,off
340,bunuh,slay
341,bunuh,snuff
342,bunuh diri,kill oneself
343,bunuh diri,suicide
344,buruk,awful
345,buruk,bad
346,buruk,bad 
347,buruk,foul
348,buruk,horrible
349,buruk,ill
350,buruk,nasty
351,buruk,poor
352,buruk,rotten
353,buruk,terrible
354,buruk,ugly
355,buta,blind
356,buta,eyeless
357,buta,sightless
358,cantik,attractive
359,cantik,beautiful
360,cantik,fair
361,cantik,lovely
362,cantik,pretty
363,capai,achieve
364,capai,achieved
365,capai,reach
366,capai,tired
367,capai,weary
368,cari,explore
369,cari,look for
370,cari,search
371,cari,seek
372,cedera,injured
373,cedera,injury
374,cegah,prevent
375,cegah,stop
376,cemas,anxious
377,cemas,concerned
378,cemas,on edge
379,cemas,worried
380,cepat,fast
381,cepat,hurry
382,cepat,nimble
383,cepat,prompt
384,cepat,quick
385,cepat,rapid
386,cepat,snappy
387,cepat,speedy
388,cepat,swift
389,cerdas,astute
390,cerdas,big-brained
391,cerdas,brainy
392,cerdas,bright
393,cerdas,brilliant
394,cerdas,clever
395,cerdas,intelligent
396,cerdas,sharp
397,cerdas,sharp-witted
398,cerdas,shrewd
399,cerdas,smart
400,cinta,love
401,cium,kiss
402,cium,smell
403,cium,smooch
404,cium,sniff
405,cocok,appropriate
406,cocok,compatible
407,cocok,correct
408,cocok,fit
409,cocok,match
410,cocok,right
411,cocok,suitable
412,copet,pickpocket
413,copet,purse snatcher
414,copet,thief
415,damai,peace
416,damai,peaceful
417,dapat,able
418,dapat,acquire
419,dapat,can
420,dapat,get
421,dapat,have
422,dapat,obtain
423,dapat,receive
424,daya,energy
425,daya,power
426,daya,strength
427,diabaikan,abandoned
428,diabaikan,disregarded
429,diabaikan,ignored
430,diabaikan,left
431,diam,idle
432,diam,quiet
433,diam,silent
434,diancam,intimidated
435,diancam,threatened
436,dibersihkan,cleaned
437,dibersihkan,taken care of
438,dibersihkan,tidied
439,dicuri,snatched
440,dicuri,stolen
441,dihukum,punished
442,dikalahkan,beaten
443,dikalahkan,defeated
444,dikalahkan,outmatched
445,dikalahkan,outplayed
446,dipercaya,trusted
447,dipermalukan,humiliated
448,dipertanyakan,put into question
449,dipertanyakan,questionable
450,dipertanyakan,questioned
451,diprovokasi,aggravated
452,diprovokasi,agitated
453,diprovokasi,provocated
454,diprovokasi,provoked
455,diprovokasi,riled up
456,disebut-sebut,mentioned
457,disebut-sebut,rumored
458,disebut-sebut,said
459,ditakuti,feared
460,ditakuti,infamous
461,ditakuti,scared
462,ditangkap,apprehended
463,ditangkap,arrested
464,ditangkap,captured
465,ditangkap,detained
466,ditangkap,imprisoned
467,ditangkap,incarcerated
468,ditangkap,jailed
469,ditangkap,restrained
470,ditangkap,secured
471,ditangkap,seized
472,diteror,intimidated
473,diteror,terrorized
474,ditinggalkan,abandoned
475,ditinggalkan,discarded
476,ditinggalkan,dropped
477,ditinggalkan,left
478,ditinggalkan,left behind
479,ditinggalkan,neglected
480,ditingkatkan,enhanced
481,ditingkatkan,improved
482,ditingkatkan,increased
483,ditingkatkan,upgraded
484,dituduh,accused
485,dituduh,charged
486,ditunda,adjourned
487,ditunda,delayed
488,ditunda,postponed
489,doa,prayer
490,doktrin,axiom
491,doktrin,belief
492,doktrin,doctrine
493,doktrin,teachings
494,duka,grief
495,duka,mourning
496,duka,sorrow
497,duka,woe
498,dukung,approve
499,dukung,endorse
500,dukung,support
501,dukungan,encouragement
502,dukungan,endorsement
503,dukungan,endrorsement
504,dukungan,support
505,efektif,effective
506,eksklusif,certain
507,eksklusif,exclusive
508,eksklusif,particular
509,eksklusif,special
510,eksklusif,specific
511,empati,compassion
512,empati,empathy
513,empati,feelings
514,empati,sympathy
515,empati,understanding
516,fitnah,defamation
517,fitnah,denigration
518,fitnah,libel
519,fitnah,lie
520,fitnah,slander
521,fitnah,smear
522,fitnah,vilification
523,fokus,concentrate
524,fokus,focus
525,fokus,point
526,fokus,purpose
527,gagah,bold
528,gagah,brave
529,gagah,brawny
530,gagah,dashing
531,gagah,gallant
532,gagah,heroic
533,gagah,lion-hearted
534,gagah,manly
535,gagah,muscular
536,gagah,strong
537,gagah,valiant
538,gagal,bomb
539,gagal,collapse
540,gagal,fail
541,gagal,failed
542,gagal,flop
543,gagal,flunk
544,gagal,unsuccesful
545,gampang,convenient
546,gampang,easy
547,gampang,ez
548,gampang,piece of cake
549,gampang,simple
550,gampang,straightforward
551,ganggu,annoy
552,ganggu,bother
553,ganggu,disturb
554,ganggu,mess with
555,gaya,fashion
556,gaya,manner
557,gaya,style
558,gaya,trend
559,gaya,way
560,gelap,dark
561,gelap,illegal
562,gelap,illicit
563,gelap,murky
564,gelap,shadowy
565,gelap,shady
566,gelap,tan
567,gentar,afraid
568,gentar,fear
569,gentar,intimidated
570,gentar,quiver
571,gentar,scared
572,gentar,tremble
573,gertak,bluff
574,gertak,bully
575,gertak,intimidate
576,gertak,scare off
577,gertak,snarl
578,gertak,threaten
579,gila,bonkers
580,gila,crazy
581,gila,insane
582,gila,lunatic
583,gila,mad
584,gila,maniac
585,gila,nuts
586,gila,off the rocker
587,gila,out of mind
588,gila,rabid
589,guncang,jolt
590,guncang,rattle
591,guncang,shake
592,guncang,shudder
593,guncangan,quake
594,guncangan,shock
595,ha,ha
596,ha,ha!
597,ha,huh
598,ha,lol
599,ha,wdym
600,ha,what
601,habis,all out
602,habis,done
603,habis,finish
604,habis,finished
605,habis,over
606,habis,run out
607,hal,case
608,hal,matter
609,hal,regard
610,hal,stuff
611,hal,subject
612,hal,thing
613,hancur,broken
614,hancur,busted up
615,hancur,destroyed
616,hancur,smashed
617,hancur,wrecked
618,hantu,apparition
619,hantu,devil
620,hantu,ghost
621,hantu,monster
622,hantu,shadow
623,hantu,spectre
624,hantu,spirit
625,hantu,spook
626,harapan,expectation
627,harapan,hope
628,harapan,prospect
629,harga,cost
630,harga,price
631,harga,rate
632,harga,value
633,harga,worth
634,harta,property
635,harta,riches
636,harta,treasure
637,harta,wealth
638,hasil,fruit
639,hasil,outcome
640,hasil,output
641,hasil,payoff
642,hasil,product
643,hasil,result
644,hati,feeling
645,hati,heart
646,hati,liver
647,hati,soul
648,hati-hati,beware
649,hati-hati,careful
650,hati-hati,cautious
651,hati-hati,conscious
652,hati-hati,mindful
653,hati-hati,safely
654,hati-hati,wary
655,hebat,amazing
656,hebat,awesome
657,hebat,excellent
658,hebat,extraordinary
659,hebat,fabulous
660,hebat,great
661,hebat,impressive
662,hebat,remarkable
663,hebat,spectacular
664,hebat,splendid
665,hebat,superb
666,hebat,terrific
667,hebat,wonderful
668,heboh,excited
669,heboh,exciting
670,heboh,lively
671,heboh,noisy
672,heboh,up in arms
673,heroik,heroic
674,hidup,exist
675,hidup,existence
676,hidup,life
677,hidup,live
678,hilang,disappear
679,hilang,go away
680,hilang,gone
681,hilang,lost
682,hilang,missing
683,hilang,vanish
684,hukum,law
685,ikut,engage
686,ikut,follow
687,ikut,go along
688,ikut,go in
689,ikut,join
690,ikut,partake
691,ikut,participate
692,ikut,string along
693,ikut,take after
694,ikut,take part
695,ilham,epiphany
696,ilham,insight
697,ilham,inspiration
698,ilham,revelation
699,iman,belief
700,iman,believe
701,iman,creed
702,iman,faith
703,indah,attractive
704,indah,beautiful
705,indah,breathtaking
706,indah,lovely
707,indah,magnificent
708,indah,picturesque
709,indah,sightly
710,ingat,have in mind
711,ingat,remember
712,ingin,aspire
713,ingin,desire
714,ingin,wanna
715,ingin,want
716,ingin,wish
717,ingin,would like
718,interogasi,interrogation
719,interogasi,questioning
720,isi,body
721,isi,content
722,isi,filling
723,isi,inside
724,isi,stuffing
725,istimewa,different
726,istimewa,distinctive
727,istimewa,excellent
728,istimewa,exceptional
729,istimewa,exclusive
730,istimewa,extraordinary
731,istimewa,particular
732,istimewa,preferential
733,istimewa,priviledged
734,istimewa,remarkable
735,istimewa,special
736,jahat,bad
737,jahat,corrupt
738,jahat,devilish
739,jahat,diabolical
740,jahat,evil
741,jahat,malicious
742,jahat,mean
743,jahat,scummy
744,jahat,sinister
745,jahat,villanous
746,jahat,wicked
747,jamin,assure
748,jamin,guarantee
749,jatuh,collapse
750,jatuh,crash
751,jatuh,drop
752,jatuh,fall
753,jatuh,fall down
754,jatuh,fall off
755,jatuh,fall over
756,jatuh,slip up
757,jatuh,trip
758,jatuh,tumble
759,jawab,answer
760,jawab,reply
761,jawab,respond
762,jaya,glorious
763,jaya,prosperous
764,jaya,successful
765,jaya,triumphant
766,jaya,victorious
767,jaya,victorius
768,jelas,certain
769,jelas,clear
770,jelas,definite
771,jelas,evident
772,jelas,explicit
773,jelas,obvious
774,jelas,plain
775,jelas,sure
776,jelas,transparent
777,jelas,vivid
778,jelek,apalling
779,jelek,awful
780,jelek,bad
781,jelek,crummy
782,jelek,disreputable
783,jelek,horrible
784,jelek,lousy
785,jelek,nasty
786,jelek,poor
787,jelek,shitty
788,jelek,shoddy
789,jelek,terrible
790,jelek,ugly
791,jenis,kind
792,jenis,type
793,jenis,variety
794,jual,offer
795,jual,sell
796,kalah,beaten
797,kalah,defeated
798,kalah,fail
799,kalah,lose
800,kalah,lost
801,kalah,owned
802,kalimat,clause
803,kalimat,sentence
804,kapal,ark
805,kapal,boat
806,kapal,canoe
807,kapal,craft
808,kapal,ship
809,kapal,vessel
810,karya,creation
811,karya,opus
812,karya,product
813,karya,work
814,kasihan,feel sorry
815,kasihan,pity
816,kaya,prosperous
817,kaya,rich
818,kaya,stacked
819,kaya,wealthy
820,kaya,well-off
821,kaya,well-to-do
822,keadilan,equity
823,keadilan,fairness
824,keadilan,justice
825,keamanan,peace
826,keamanan,safety
827,keamanan,security
828,kebaikan,amicability
829,kebaikan,charity
830,kebaikan,cordiality
831,kebaikan,generosity
832,kebaikan,good
833,kebaikan,good deed
834,kebaikan,goodness
835,kebaikan,kind
836,kebaikan,kindness
837,kebaikan,virtue
838,kebencian,aversion
839,kebencian,disgust
840,kebencian,distaste
841,kebencian,enmity
842,kebencian,hate
843,kebencian,hatred
844,kebencian,hostility
845,kebencian,loathing
846,kebencian,malice
847,kebencian,resentment
848,keberanian,audacity
849,keberanian,balls
850,keberanian,boldness
851,keberanian,bravery
852,keberanian,courage
853,keberanian,fearlessness
854,keberanian,guts
855,keberanian,nerve
856,keberanian,spunk
857,keberanian,valor
858,kebetulan,accident
859,kebetulan,by chance
860,kebetulan,chance
861,kebetulan,coincidence
862,kebetulan,fluke
863,kebetulan,luck
864,kecewa,disappoint
865,kecewa,disappointed
866,kecewa,frustated
867,kecewa,let down
868,kehancuran,destruction
869,kehancuran,downfall
870,kehancuran,ruination
871,kehancuran,undoing
872,kehilangan,loss
873,kehilangan,lost
874,kehilangan,miss
875,kehilangan,missing
876,kejahatan,atrocity
877,kejahatan,crime
878,kejahatan,evil
879,kejahatan,harm
880,kejahatan,misdeed
881,kejahatan,offence
882,kejahatan,villainy
883,kejahatan,wickedness
884,kejam,abusive
885,kejam,barbaric
886,kejam,brutal
887,kejam,cruel
888,kejam,cutthroat
889,kejam,diabolical
890,kejam,harsh
891,kejam,heartless
892,kejam,heinous
893,kejam,ruthless
894,kejam,savage
895,kejam,vicious
896,keji,brutal
897,keji,despicable
898,keji,foul
899,keji,mean
900,keji,nasty
901,keji,vicious
902,keji,vile
903,keji,villainous
904,keji,wicked
905,kekayaan,earnings
906,kekayaan,fortune
907,kekayaan,money
908,kekayaan,riches
909,kekayaan,richess
910,kekayaan,wealth
911,kekayaan,wealthy
912,kekerasan,hardness
913,kekerasan,harshness
914,kekerasan,violence
915,kekuatan,capacity
916,kekuatan,energy
917,kekuatan,force
918,kekuatan,fortitude
919,kekuatan,might
920,kekuatan,power
921,kekuatan,strength
922,kelaparan,famine
923,kelaparan,hunger
924,kelaparan,starvation
925,kelaparan,starving
926,keluar,book it out
927,keluar,come out
928,keluar,escape
929,keluar,exit
930,keluar,get out
931,keluar,go out
932,keluar,out
933,keluar,run
934,keluar,step outside
935,kematian,death
936,kematian,demise
937,kematian,fatality
938,kematian,mortality
939,kembali,back
940,kembali,change
941,kembali,come back
942,kembali,comeback
943,kembali,go back
944,kembali,return
945,kembali,revert
946,kembali,turn back
947,kena,affected
948,kena,catch
949,kena,get
950,kena,get hit
951,kena,infected with
952,kenal,acquainted with
953,kenal,familiar with
954,kenal,know
955,kenyamanan,amenity
956,kenyamanan,comfort
957,kenyamanan,convenience
958,kenyamanan,cosiness
959,kenyamanan,ease
960,kepentingan,behalf
961,kepentingan,benefit
962,kepentingan,concerns
963,kepentingan,importance
964,kepentingan,interest
965,kepentingan,prominence
966,kepentingan,significance
967,keras,hard
968,keras,harsh
969,keras,loud
970,keras,rigid
971,keras,rigorous
972,keras,solid
973,keras,stern
974,keras,stiff
975,keras,strict
976,keras,strong
977,keras,tough
978,keren,amazing
979,keren,awesome
980,keren,badass
981,keren,cool
982,keren,dashing
983,keren,fashionable
984,keren,gnarly
985,keren,impressive
986,keren,rad
987,keren,sharp
988,keren,stylish
989,kerugian,deprivation
990,kerugian,detriment
991,kerugian,disadvantage
992,kerugian,loss
993,kerugian,shortcoming
994,kerusakan,damage
995,kerusakan,decay
996,kerusakan,harm
997,kesalahan,error
998,kesalahan,failure
999,kesalahan,fault
1000,kesalahan,guilt
1001,kesalahan,mistake
1002,kesalahan,wrongdoing
1003,kesan,image
1004,kesan,impression
1005,kesempatan,avenue
1006,kesempatan,chance
1007,kesempatan,occasion
1008,kesempatan,opportunity
1009,kesepian,forlorn
1010,kesepian,loneliness
1011,kesepian,lonely
1012,kesepian,lonesome
1013,kesepian,solitude
1014,kesulitan,adversity
1015,kesulitan,challenge
1016,kesulitan,complication
1017,kesulitan,difficulty
1018,kesulitan,distress
1019,kesulitan,hardship
1020,kesulitan,impediment
1021,kesulitan,issue
1022,kesulitan,problem
1023,kesulitan,trouble
1024,ketakutan,dread
1025,ketakutan,fear
1026,ketakutan,fright
1027,ketakutan,horror
1028,ketakutan,scare
1029,ketat,close-fitting
1030,ketat,form-fitting
1031,ketat,skin-tight
1032,ketat,strict
1033,ketat,tight
1034,ketegangan,strain
1035,ketegangan,stress
1036,ketegangan,suspense
1037,ketegangan,tense
1038,ketegangan,tension
1039,ketegangan,tensity
1040,kompak,cohesive
1041,kompak,compact
1042,kompak,solid
1043,kompak,unified
1044,konflik,argument
1045,konflik,clash
1046,konflik,conflict
1047,konflik,controversy
1048,konflik,discord
1049,konflik,dispute
1050,konflik,friction
1051,konflik,quarrel
1052,konflik,squabbling
1053,konflik,strife
1054,konspirasi,collusion
1055,konspirasi,conspiracy
1056,konspirasi,conspiration
1057,konspirasi,intrigue
1058,konspirasi,machinations
1059,korban,sacrifice
1060,korban,scapegoat
1061,korban,victim
1062,korban jiwa,fatalities
1063,korban jiwa,victim
1064,kosong,blank
1065,kosong,empty
1066,kosong,hollow
1067,kosong,unoccupied
1068,kosong,vacant
1069,kosong,vacuous
1070,kosong,zero
1071,kotor,dirty
1072,kotor,filthy
1073,kotor,foul
1074,kotor,grimy
1075,kotor,gross
1076,kotor,grubby
1077,kotor,messy
1078,kotor,nasty
1079,kotor,smudgy
1080,kotor,unclean
1081,kuat,durable
1082,kuat,firm
1083,kuat,intense
1084,kuat,powerful
1085,kuat,robust
1086,kuat,solid
1087,kuat,steady
1088,kuat,strong
1089,kuat,sturdy
1090,kuat,tough
1091,kurang,deficient
1092,kurang,lacking
1093,kurang,less
1094,kurang,minus
1095,kurang,not enough
1096,kutuk,condemn
1097,kutuk,curse
1098,kutuk,damn
1099,kutukan,condemnation
1100,kutukan,curse
1101,kutukan,damning
1102,langgar,break
1103,langgar,defy
1104,langgar,infringe
1105,langgar,violate
1106,larang,ban
1107,larang,disallow
1108,larang,forbid
1109,larang,prohibit
1110,larangan,ban
1111,larangan,prohibition
1112,lawan,against
1113,lawan,competitor
1114,lawan,contender
1115,lawan,contestant
1116,lawan,contra
1117,lawan,contradictor
1118,lawan,foe
1119,lawan,go against
1120,lawan,opponoent
1121,lawan,opposite
1122,lawan,rival
1123,lawan,take on
1124,lawan,versus
1125,layak,appropriate
1126,layak,decent
1127,layak,feasible
1128,layak,proper
1129,layak,qualified
1130,layak,reasonable
1131,layak,sensible
1132,layak,suitable
1133,layak,worthy
1134,lebih,more
1135,lebih,over
1136,lebih baik,better
1137,lebih baik,preferable
1138,lembut,creamy
1139,lembut,delicate
1140,lembut,fluffy
1141,lembut,gentle
1142,lembut,soft
1143,lembut,tender
1144,lengkap,complete
1145,lengkap,comprehensive
1146,lengkap,exhaustive
1147,lengkap,full
1148,lengkap,intact
1149,lengkap,perfect
1150,lengkap,thorough
1151,lengkap,unabridged
1152,lenyap,disappear
1153,lenyap,evaporate
1154,lenyap,extinct
1155,lenyap,gone
1156,lenyap,vanish
1157,lewat,come by
1158,lewat,come through
1159,lewat,go by
1160,lewat,go past
1161,lewat,late
1162,lewat,miss
1163,lewat,pass
1164,lewat,pass through
1165,lewat,passing
1166,lewat,slip by
1167,lewat,through
1168,lihat,look
1169,lihat,observe
1170,lihat,see
1171,lihat,view
1172,lihat,watch
1173,lihat,witness
1174,lmao,lmao
1175,lmao,lol
1176,luar biasa,cut above
1177,luar biasa,exceptional
1178,luar biasa,extraordinary
1179,luar biasa,fantastic
1180,luar biasa,incredible
1181,luar biasa,phenomenal
1182,luar biasa,remarkable
1183,luar biasa,remarkably
1184,luar biasa,super
1185,luar biasa,terrific
1186,luar biasa,unbelievable
1187,lucu,amusing
1188,lucu,comical
1189,lucu,cute
1190,lucu,funny
1191,lucu,gaga
1192,lucu,hilarious
1193,lucu,humorous
1194,lucu,silly
1195,luka,cut
1196,luka,injury
1197,luka,scar
1198,luka,wound
1199,luka,wounded
1200,lupa,forget
1201,maaf,excuse
1202,maaf,forgive
1203,maaf,pardon
1204,maaf,sorry
1205,mahal,costly
1206,mahal,expensive
1207,mahal,extravagant
1208,mahal,high
1209,mahal,lavish
1210,mahal,pricey
1211,mahal,upscale
1212,mampu,able
1213,mampu,adequate
1214,mampu,afford
1215,mampu,capable
1216,mampu,competent
1217,mampu,well-off
1218,marah,angry
1219,marah,enraged
1220,marah,exasperated
1221,marah,furious
1222,marah,irate
1223,marah,mad
1224,marah,outraged
1225,marah,resentful
1226,marah,seethe
1227,marah,upset
1228,masalah,issue
1229,masalah,matter
1230,masalah,problem
1231,masalah,thing
1232,mati,dead
1233,mati,die
1234,mati,go out
1235,mati,kick the bucket
1236,mati,meet one's maker
1237,mati,perish
1238,mayat,body
1239,mayat,cadaver
1240,mayat,corpse
1241,mayat,remains
1242,melakukan,carry out
1243,melakukan,do
1244,melakukan,execute
1245,melakukan,make
1246,melakukan,perform
1247,melakukan,proceed
1248,melakukan,pull off
1249,melakukan,run
1250,melanggar,break
1251,melanggar,defy
1252,melanggar,disobey
1253,melanggar,infringe
1254,melanggar,transgress
1255,melanggar,violate
1256,melemahkan,debilitate
1257,melemahkan,impair
1258,melemahkan,soften
1259,melemahkan,weaken
1260,melindungi,cover
1261,melindungi,guard
1262,melindungi,preserve
1263,melindungi,protect
1264,melindungi,secure
1265,melindungi,shield
1266,melumpuhkan,cripple
1267,melumpuhkan,debilitate
1268,melumpuhkan,demolish
1269,melumpuhkan,disable
1270,melumpuhkan,immobilize
