,indonesian,english
1271,melumpuhkan,impair
1272,melumpuhkan,paralize
1273,melumpuhkan,paralyze
1274,melumpuhkan,stifle
1275,memastikan,ascertain
1276,memastikan,assure
1277,memastikan,confirm
1278,memastikan,determine
1279,memastikan,ensure
1280,memastikan,make sure
1281,memastikan,set
1282,memastikan,settle
1283,membahayakan,compromise
1284,membahayakan,endanger
1285,membahayakan,harm
1286,membahayakan,jeopardize
1287,membantu,aid
1288,membantu,assist
1289,membantu,contribute
1290,membantu,help
1291,membantu,lend a hand
1292,membantu,support
1293,membatalkan,annul
1294,membatalkan,call off
1295,membatalkan,cancel
1296,membatalkan,rescind
1297,membatalkan,void
1298,membatalkan,withdraw
1299,membenci,despise
1300,membenci,dislike
1301,membenci,hate
1302,membenci,loathe
1303,membuka,begin
1304,membuka,disclose
1305,membuka,open
1306,membuka,start
1307,membunuh,assassinate
1308,membunuh,destroy
1309,membunuh,dispatch
1310,membunuh,execute
1311,membunuh,finish off
1312,membunuh,kill
1313,membunuh,murder
1314,membunuh,off
1315,membunuh,slay
1316,membunuh,smite
1317,membunuh,snuff
1318,memerangi,battle
1319,memerangi,be against
1320,memerangi,combat
1321,memerangi,contend
1322,memerangi,counter
1323,memerangi,fight
1324,memerangi,fight against
1325,memerangi,fight back
1326,memerangi,oppose
1327,memerangi,resist
1328,memerangi,withstand
1329,mempertanyakan,doubt
1330,mempertanyakan,ponder
1331,mempertanyakan,question
1332,mempertanyakan,suspect
1333,memuji,commend
1334,memuji,compliment
1335,memuji,flatter
1336,memuji,praise
1337,menahan,arrest
1338,menahan,detain
1339,menahan,endure
1340,menahan,fight back
1341,menahan,hold
1342,menahan,hold back
1343,menahan,hold on
1344,menahan,keep
1345,menahan,keep under control
1346,menahan,resist
1347,menahan,suppress
1348,menahan,sustain
1349,menahan,withhold
1350,menahan,withstand
1351,menanti,expect
1352,menanti,look forward
1353,menanti,wait
1354,menanti,waiting
1355,menarik,alluring
1356,menarik,appealing
1357,menarik,attractive
1358,menarik,enticing
1359,menarik,eye-catching
1360,menarik,interesting
1361,menarik,intriguing
1362,menarik,riveting
1363,mencurigakan,dubious
1364,mencurigakan,fishy
1365,mencurigakan,sus
1366,mencurigakan,suspicious
1367,mendapatkan,acquire
1368,mendapatkan,attain
1369,mendapatkan,gain
1370,mendapatkan,get
1371,mendapatkan,getting
1372,mendapatkan,obtain
1373,mendapatkan,receive
1374,mendapatkan,win
1375,menderita,anguish
1376,menderita,endure
1377,menderita,suffer
1378,mendoktrin,indoctrinate
1379,mendorong,boost
1380,mendorong,compel
1381,mendorong,drive
1382,mendorong,encourage
1383,mendorong,motivate
1384,mendorong,prompt
1385,mendorong,propel
1386,mendorong,push
1387,mendorong,pushing
1388,mendorong,shove
1389,mendorong,stimulate
1390,mendukung,aid
1391,mendukung,back up
1392,mendukung,bolster
1393,mendukung,contribute
1394,mendukung,help out
1395,mendukung,promote
1396,mendukung,stick up
1397,mendukung,support
1398,mendukung,supporting
1399,mendung,clouded
1400,mendung,cloudy
1401,mendung,gloomy
1402,menembak,shoot
1403,menembak,shooting
1404,menerima,accept
1405,menerima,accepting
1406,menerima,get
1407,menerima,receive
1408,menerima,take
1409,mengakui,acknowledge
1410,mengakui,admit
1411,mengakui,confess
1412,mengakui,fess up
1413,mengakui,own up
1414,mengakui,profess
1415,mengakui,recognize
1416,mengamankan,apprehend
1417,mengamankan,arrest
1418,mengamankan,detain
1419,mengamankan,hold in
1420,mengamankan,pacify
1421,mengamankan,preserve
1422,mengamankan,prosecute
1423,mengamankan,secure
1424,mengeluarkan,dish out
1425,mengeluarkan,eject
1426,mengeluarkan,expel
1427,mengeluarkan,get out
1428,mengeluarkan,issue
1429,mengeluarkan,present
1430,mengeluarkan,pull out
1431,mengeluarkan,release
1432,mengeluarkan,spend
1433,mengeluarkan,throw out
1434,mengembalikan,bring back
1435,mengembalikan,give back
1436,mengembalikan,restore
1437,mengembalikan,return
1438,mengembalikan,send back
1439,mengerikan,awful
1440,mengerikan,bone-chilling
1441,mengerikan,dreadful
1442,mengerikan,gruesome
1443,mengerikan,horrible
1444,mengerikan,horrific
1445,mengerikan,horrifying
1446,mengerikan,morbid
1447,mengerikan,nightmarish
1448,mengerikan,scary
1449,mengerikan,terrible
1450,mengerikan,terrifying
1451,mengerikan,unnerving
1452,menghancurkan,break
1453,menghancurkan,crush
1454,menghancurkan,demolish
1455,menghancurkan,destroy
1456,menghancurkan,devastate
1457,menghancurkan,ruin
1458,menghancurkan,shatter
1459,menghancurkan,smash
1460,menghancurkan,tear
1461,menghancurkan,wreck
1462,menghargai,appreciate
1463,menghargai,cherish
1464,menghargai,commend
1465,menghargai,give credit
1466,menghargai,honor
1467,menghargai,prize
1468,menghargai,respect
1469,menghargai,reward
1470,menghargai,treasure
1471,menghargai,value
1472,menghindari,avoid
1473,menghindari,dodge
1474,menghindari,elude
1475,menghindari,evade
1476,menghindari,keep away
1477,menghindari,run from
1478,mengusir,banish
1479,mengusir,cast out
1480,mengusir,dislodge
1481,mengusir,drive away
1482,mengusir,evict
1483,mengusir,kick out
1484,mengusir,oust
1485,mengusir,repel
1486,mengusir,shoo away
1487,mengusir,throw out
1488,mengutuk,condemn
1489,mengutuk,curse
1490,mengutuk,damn
1491,mengutuk,decry
1492,meninggal,decease
1493,meninggal,depart
1494,meninggal,die
1495,meninggal,lose one's life
1496,meninggal,pass away
1497,meningkatkan,enhance
1498,meningkatkan,escalate
1499,meningkatkan,improve
1500,meningkatkan,increase
1501,meningkatkan,intensify
1502,meningkatkan,jack up
1503,meningkatkan,up
1504,meningkatkan,upgrade
1505,menolak,decline
1506,menolak,deny
1507,menolak,dismiss
1508,menolak,refuse
1509,menolak,reject
1510,menolak,turn down
1511,menunggu,anticipate
1512,menunggu,await
1513,menunggu,bide time
1514,menunggu,expect
1515,menunggu,stand by
1516,menunggu,wait
1517,menunggu,waiting
1518,menurunkan,bring down
1519,menurunkan,decrease
1520,menurunkan,dial down
1521,menurunkan,down
1522,menurunkan,drop
1523,menurunkan,drop off
1524,menurunkan,lower
1525,menurunkan,put down
1526,menurunkan,reduce
1527,menyadari,be aware
1528,menyadari,come to sense
1529,menyadari,realize
1530,menyadari,wake up
1531,menyadari,wise up
1532,menyalahkan,accuse
1533,menyalahkan,blame
1534,menyalahkan,condemn
1535,menyalahkan,fault
1536,menyalahkan,put on the spot
1537,menyalahkan,throw under the bus
1538,menyambut,greet
1539,menyambut,welcome
1540,menyebabkan,bring about
1541,menyebabkan,cause
1542,menyebabkan,causing
1543,menyebabkan,give rise to
1544,menyebabkan,leading to
1545,menyerang,assault
1546,menyerang,attack
1547,menyerang,charge
1548,menyerang,hit
1549,menyerang,rush
1550,menyerang,strike
1551,menyeret,drag
1552,menyeret,haul
1553,menyeret,lug
1554,menyeret,tow
1555,menyesatkan,mislead
1556,menyesatkan,misleading
1557,menyita,confiscate
1558,menyita,seize
1559,meragukan,doubt
1560,meragukan,dubious
1561,meragukan,question
1562,meragukan,suspect
1563,meruntuhkan,demolish
1564,meruntuhkan,knock down
1565,meruntuhkan,overthrow
1566,meruntuhkan,raze
1567,meruntuhkan,tear down
1568,minta,ask
1569,minta,ask for
1570,minta,request
1571,minta maaf,apologize
1572,minta maaf,excuse oneself
1573,minta maaf,i'm sorry
1574,minta maaf,pardon me
1575,miskin,broke
1576,miskin,destitute
1577,miskin,impoverished
1578,miskin,needy
1579,miskin,poor
1580,moga,hope
1581,muda,early
1582,muda,pale
1583,muda,young
1584,mudah,convenient
1585,mudah,easy
1586,mudah,ez
1587,mudah,simple
1588,mudah,straightforward
1589,muka,advance
1590,muka,countenance
1591,muka,face
1592,muka,front
1593,muka,look
1594,muka,mug
1595,muka,surface
1596,muka,visage
1597,mulia,esteemed
1598,mulia,glorious
1599,mulia,holy
1600,mulia,honorable
1601,mulia,noble
1602,mulia,precious
1603,mundur,back off
1604,mundur,fall back
1605,mundur,go back
1606,mundur,retreat
1607,mundur,set back
1608,mundur,step back
1609,murah,affordable
1610,murah,cheap
1611,murah,generous
1612,murah,inexpensive
1613,murka,angry
1614,murka,furious
1615,murka,mad
1616,murka,wrath
1617,musuh,adversary
1618,musuh,competitor
1619,musuh,contender
1620,musuh,enemy
1621,musuh,foe
1622,musuh,opponent
1623,musuh,rival
1624,nanti,afterward
1625,nanti,future
1626,nanti,in the future
1627,nanti,later
1628,nanti,some other time
1629,nekat,desperate
1630,nekat,reckless
1631,neraka,blaze
1632,neraka,hell
1633,neraka,inferno
1634,ngeri,eerie
1635,ngeri,fearful
1636,ngeri,horrible
1637,ngeri,scary
1638,ngeri,spooky
1639,ngeri,terrible
1640,ngerti,get it
1641,ngerti,understand
1642,nilai,grade
1643,nilai,mark
1644,nilai,score
1645,nilai,value
1646,nilai,worth
1647,oke,good
1648,oke,ok
1649,oke,okay
1650,oke,okey dokey
1651,oleh,by
1652,orang bodoh,birdbrain
1653,orang bodoh,doofus
1654,orang bodoh,dumbass
1655,orang bodoh,dummy
1656,orang bodoh,dunce
1657,orang bodoh,goof
1658,orang bodoh,idiot
1659,orang bodoh,nincompoop
1660,orang bodoh,pinhead
1661,orang bodoh,schmuck
1662,orang bodoh,stupid people
1663,pada,at
1664,pada,in
1665,pada,on
1666,pada,you all
1667,padat,compact
1668,padat,congested
1669,padat,crowded
1670,padat,dense
1671,padat,populous
1672,padat,solid
1673,padat,tight
1674,pahlawan,hero
1675,pahlawan,heroes
1676,pahlawan,patriot
1677,palsu,artificial
1678,palsu,bogus
1679,palsu,counterfeit
1680,palsu,dummy
1681,palsu,fake
1682,palsu,false
1683,palsu,imitation
1684,palsu,made-up
1685,palsu,phony
1686,palsu,sham
1687,panas,burning
1688,panas,flaming
1689,panas,heat
1690,panas,hot
1691,panas,scorching
1692,panas,temperature
1693,panas,thermal
1694,panas,warm
1695,panik,frigthened
1696,panik,panic
1697,panik,scare
1698,panjang,extensive
1699,panjang,length
1700,panjang,lengthy
1701,panjang,long
1702,pantat,arse
1703,pantat,ass
1704,pantat,asscheeks
1705,pantat,backside
1706,pantat,behind
1707,pantat,bottom
1708,pantat,bum
1709,pantat,butt
1710,pantat,buttock
1711,pantat,buttocks
1712,pantat,rear
1713,pantat,rump
1714,parodi,farce
1715,parodi,parody
1716,parodi,travesty
1717,pasti,absolute
1718,pasti,certain
1719,pasti,definite
1720,pasti,doubtless
1721,pasti,fixed
1722,pasti,sure
1723,pasti,undoubtly
1724,pecah,break
1725,pecah,broken
1726,pecah,burst
1727,pecah,busted
1728,pecah,popped
1729,pecah,shattered
1730,peduli,care
1731,peduli,pay attention
1732,pelaku,culprit
1733,pelaku,doer
1734,pelaku,performer
1735,pelaku,perp
1736,pelaku,perpetrator
1737,pelaku,perpretator
1738,pelaku,player
1739,pelaku kejahatan,criminal
1740,pelaku kejahatan,culprit
1741,pelaku kejahatan,perp
1742,pelaku kejahatan,perpetrator
1743,pelaku kejahatan,perpretator
1744,pembela,advocate
1745,pembela,apologist
1746,pembela,defender
1747,pembela,protector
1748,pembela,vindicator
1749,pemberani,daredevil
1750,pemberani,daring
1751,pemberani,fearless
1752,pemberani,interpid
1753,pemberontakan,betrayal
1754,pemberontakan,insurgency
1755,pemberontakan,rebelion
1756,pemberontakan,rebellion
1757,pemberontakan,revolt
1758,pemberontakan,revolution
1759,pemberontakan,uprising
1760,penangkapan,apprehension
1761,penangkapan,arrest
1762,penangkapan,capture
1763,penangkapan,catching
1764,penangkapan,interception
1765,penangkapan,trapping
1766,pendukung,backer
1767,pendukung,proponent
1768,pendukung,supporter
1769,penembakan,shooting
1770,pengecut,chicken
1771,pengecut,coward
1772,pengecut,sissy
1773,pengunjung,guest
1774,pengunjung,visitor
1775,penjara,big house
1776,penjara,brig
1777,penjara,cage
1778,penjara,gaol
1779,penjara,jail
1780,penjara,lockup
1781,penjara,penitentiary
1782,penjara,prison
1783,penjara,slammer
1784,penjara,ward
1785,penting,consequential
1786,penting,critical
1787,penting,essential
1788,penting,important
1789,penting,monumental
1790,penting,notable
1791,penting,prominent
1792,penting,significant
1793,penting,urgent
1794,penting,vital
1795,penuh,complete
1796,penuh,crowded
1797,penuh,full
1798,penuh,packed
1799,penuh,whole
1800,penularan,contagion
1801,penularan,infection
1802,penularan,spread
1803,penularan,spreading
1804,penularan,transimission
1805,penularan,transmission
1806,penyelamat,rescuer
1807,penyelamat,saver
1808,penyelamat,savior
1809,penyelidikan,inquiry
1810,penyelidikan,investigation
1811,perampok,bandit
1812,perampok,hijacker
1813,perampok,mugger
1814,perampok,plunderer
1815,perampok,robber
1816,perang,battle
1817,perang,war
1818,perasaan,feeling
1819,perasaan,heart
1820,perasaan,sense
1821,perasaan,sentiment
1822,percaya,believe
1823,percaya,trust
1824,perdamaian,peace
1825,peringatan,alert
1826,peringatan,commemoration
1827,peringatan,heads up
1828,peringatan,memorial
1829,peringatan,notice
1830,peringatan,remembrance
1831,peringatan,tip-off
1832,peringatan,warning
1833,perjuangan,battle
1834,perjuangan,effort
1835,perjuangan,fight
1836,perjuangan,struggle
1837,pertanyaan,query
1838,pertanyaan,question
1839,pertanyaan,questions
1840,pertempuran,battle
1841,pertempuran,combat
1842,pertempuran,fight
1843,pertempuran,war
1844,pertempuran,warfare
1845,pikir,ponder
1846,pikir,think
1847,pikir,thought
1848,pikir,wonder
1849,pintar,apt
1850,pintar,big-brained
1851,pintar,brainy
1852,pintar,bright
1853,pintar,brilliant
1854,pintar,clever
1855,pintar,cunning
1856,pintar,intelligent
1857,pintar,sharp-witted
1858,pintar,smart
1859,pintar,witty
1860,populer,famous
1861,populer,popular
1862,positif,positive
1863,potong,cut
1864,potong,slice
1865,puja,praise
1866,puja,worship
1867,puji,praise
1868,pukul,beat
1869,pukul,hit
1870,pukul,o'clock
1871,pukul,punch
1872,pukul,spank
1873,pukul,strike
1874,pulih,get well
1875,pulih,recover
1876,pulih,restore
1877,pulih,revert
1878,pura,shrine
1879,pura,temple
1880,pusing,dizzy
1881,pusing,faint
1882,pusing,giddy
1883,pusing,headache
1884,racun,poison
1885,racun,toxic
1886,racun,toxin
1887,racun,venom
1888,rahmat,blessing
1889,rahmat,godsend
1890,rahmat,grace
1891,rahmat,mercy
1892,rampas,grab
1893,rampas,rob
1894,rampas,snatch
1895,rampas,steal
1896,rampas,take away
1897,rampas,take over
1898,rampas,yank
1899,rampas,yoink
1900,ras,ethnicity
1901,ras,people
1902,ras,race
1903,raya,big
1904,raya,celebration
1905,raya,festivity
1906,raya,grand
1907,raya,great
1908,raya,large
1909,rela,accepting
1910,rela,compliant
1911,rela,ready
1912,rela,willing
1913,rindu,homesick
1914,rindu,lonesome
1915,rindu,longing
1916,rindu,miss
1917,rindu,yearning
1918,runtuh,cave in
1919,runtuh,collapse
1920,runtuh,fall
1921,runtuh,fall apart
1922,runtuh,fall down
1923,runtuh,tumblin down
1924,sadar,awake
1925,sadar,aware
1926,sadar,cognizant
1927,sadar,come round
1928,sadar,conscious
1929,sadar,know
1930,sadar,mindful
1931,sadar,realize
1932,sadar,recognize
1933,sadar,sensible
1934,saham,holdings
1935,saham,share
1936,saham,stock
1937,sakit,hurt
1938,sakit,ill
1939,sakit,pain
1940,sakit,sick
1941,sakit,sore
1942,salah,amiss
1943,salah,erroneous
1944,salah,false
1945,salah,fault
1946,salah,incorrect
1947,salah,mistaken
1948,salah,off
1949,salah,wrong
1950,salam,greeting
1951,salam,regards
1952,salam,salutation
1953,salut,salute
1954,sama,alike
1955,sama,common
1956,sama,equal
1957,sama,identical
1958,sama,same
1959,sama,similar
1960,sama,with
1961,samping,side
1962,sangat,exceptionally
1963,sangat,extremely
1964,sangat,greatly
1965,sangat,highly
1966,sangat,immensely
1967,sangat,most
1968,sangat,really
1969,sangat,sorely
1970,sangat,terribly
1971,sangat,very
1972,santai,chill
1973,santai,lounge
1974,santai,relax
1975,santai,relaxed
1976,santai,sit around
1977,sapa,greet
1978,sapa,who
1979,saran,advice
1980,saran,idea
1981,saran,offer
1982,saran,proposition
1983,saran,recommendation
1984,saran,suggestion
1985,sayang,baby
1986,sayang,beloved
1987,sayang,care
1988,sayang,darling
1989,sayang,dear
1990,sayang,honey
1991,sayang,love
1992,sayang,pity
1993,sayang,shame
1994,sayang,sugar
1995,sebab,because
1996,sebab,cause
1997,sebab,for
1998,sebab,ground
1999,sebab,in that
2000,sebab,motive
2001,sebab,reason
2002,sebab,since
2003,sebut,call out
2004,sebut,cite
2005,sebut,mention
2006,sebut,refer
2007,sebut,say
2008,sebut,speak of
2009,sedih,bitter
2010,sedih,dejected
2011,sedih,depressed
2012,sedih,heartbroken
2013,sedih,miserable
2014,sedih,misserable
2015,sedih,sad
2016,sedih,sorrowful
2017,sedih,unhappy
2018,segan,disinclined
2019,segan,reluctant
2020,segan,shy
2021,segan,timid
2022,segan,unwilling
2023,selamat,congratulations
2024,selamat,happy
2025,selamat,safe
2026,selesai,close
2027,selesai,complete
2028,selesai,completed
2029,selesai,finish
2030,selesai,finished
2031,selesai,over
2032,selesai,wrap up
2033,semangat,oomph
2034,semangat,passion
2035,semangat,spirit
2036,semangat,vigor
2037,sembunyi,hide
2038,sembunyi,hide out
2039,sembunyi,lay low
2040,sembunyi,secret
2041,semoga,hopefully
2042,semoga,may
2043,sempat,had time
2044,sempat,have time
2045,sempat,still able to
2046,senang,fond of
2047,senang,glad
2048,senang,happy
2049,senang,have fun
2050,senang,like
2051,senang,love
2052,senang,pleased
2053,sendiri,alone
2054,sendiri,by oneself
2055,sendiri,own
2056,sendiri,self
2057,sendiri,single
2058,sendiri,solo
2059,sendiri,unaccompanied
2060,senjata,arms
2061,senjata,gear
2062,senjata,gun
2063,senjata,weapon
2064,senyum,grin
2065,senyum,smile
2066,seperti,alike
2067,seperti,as if
2068,seperti,as though
2069,seperti,like
2070,seperti,similar
2071,seperti,similar to
2072,sepi,deserted
2073,sepi,desolate
2074,sepi,empty
2075,sepi,lonely
2076,sepi,lonesome
2077,sepi,quiet
2078,sepi,silent
2079,seragam,even
2080,seragam,homogenous
2081,seragam,same
2082,seragam,uniform
2083,seram,bone-chilling
2084,seram,eerie
2085,seram,grim
2086,seram,scary
2087,seram,sinister
2088,seram,spooky
2089,serang,assault
2090,serang,attack
2091,serang,charge
2092,serang,offense
2093,serang,rush
2094,serang,strike
2095,serangan,assault
2096,serangan,attack
2097,serangan,blow
2098,serangan,hit
2099,serangan,raid
2100,serangan,strike
2101,serikat,confederation
2102,serikat,league
2103,serikat,union
2104,serikat,united
2105,siap,prepared
2106,siap,ready
2107,siap,set
2108,siap,steady
2109,sigap,spry
2110,sigap,steady
2111,sigap,wide-awake
2112,silahkan,after you
2113,silahkan,if you will
2114,silahkan,please
2115,simpati,sympathy
2116,simpatik,sympathetic
2117,solidaritas,solidarity
2118,sopan,civil
2119,sopan,decent
2120,sopan,genteel
2121,sopan,kind
2122,sopan,nice
2123,sopan,polite
2124,sopan,proper
2125,sopan,refined
2126,sopan,respectful
2127,sopan,well-mannered
2128,stres,stress
2129,striker,striker
2130,suap,bribe
2131,suap,brown envelope
2132,suap,graft
2133,suap,hush money
2134,suap,incentive
2135,suap,something extra
2136,suap,sweetener
2137,suap,tip
2138,suka,adore
2139,suka,enjoy
2140,suka,fancy
2141,suka,fond of
2142,suka,like
2143,suka,love
2144,sulit,arduous
2145,sulit,complicated
2146,sulit,convoluted
2147,sulit,difficult
2148,sulit,hard
2149,sulit,intricate
2150,sulit,tough
2151,sulit,tricky
2152,sulit,troublesome
2153,sulit,uphill
2154,super,really
2155,super,super
2156,super,very
2157,surga,eden
2158,surga,heaven
2159,surga,nirvana
2160,surga,paradise
2161,surga,valhalla
2162,susah,difficult
2163,susah,hard
2164,susah,inconvenient
2165,susah,poor
2166,susah,troublesome
2167,tabah,determined
2168,tabah,enduring
2169,tabah,gritty
2170,tabah,patient
2171,tabah,resilient
2172,tabah,steadfast
2173,tabah,tough
2174,tabrak,crash
2175,tabrak,hit
2176,tahan,bear
2177,tahan,hold
2178,tahan,hold in
2179,tahan,persist
2180,tahan,put up with
2181,tahan,resist
2182,tahan,stand
2183,tahan,suppress
2184,tahan,take it
2185,tahan,tolerate
2186,tahan,withstand
2187,tahanan,captive
2188,tahanan,custody
2189,tahanan,detainee
2190,tahanan,hostage
2191,tahanan,inmate
2192,tahanan,prisoner
2193,tak kalah,able to compete
2194,tak kalah,not half bad
2195,tak kalah,not lose
2196,tak kalah,not to be outdone
2197,tak kalah,not too shabby
2198,tak kalah,win
2199,takut,afraid
2200,takut,fearful
2201,takut,scared
2202,takut,shaking
2203,takut,shivering
2204,takut,spooked
2205,tanggung jawab,commitment
2206,tanggung jawab,duty
2207,tanggung jawab,responsibility
2208,tangis,cry
2209,tangis,howl
2210,tangis,mourning
2211,tangis,sob
2212,tangis,wail
2213,tangis,weeping
2214,tangkap,arrest
2215,tangkap,capture
2216,tangkap,catch
2217,tantangan,challenge
2218,tantangan,dare
2219,tanya,ask
2220,tanya,inquire
2221,tanya,question
2222,tegang,anxious
2223,tegang,nervous
2224,tegang,stiff
2225,tegang,strained
2226,tegang,tense
2227,tegang,uptight
2228,tegas,assertive
2229,tegas,bold
2230,tegas,decided
2231,tegas,decisive
2232,tegas,dominant
2233,tegas,firm
2234,tegas,resolute
2235,tegas,rigid
2236,tegas,strict
2237,tembak,blast
2238,tembak,gun
2239,tembak,shoot
2240,tempur,battle
2241,tempur,combat
2242,tempur,war
2243,tenang,calm
2244,tenang,chill
2245,tenang,cool
2246,tenang,peaceful
2247,tenang,quiet
2248,tenang,serene
2249,tenang,tranquil
2250,tenggelam,drown
2251,tenggelam,drowned
2252,tenggelam,go down
2253,tenggelam,go under
2254,tenggelam,sink
2255,tentang,about
2256,tentang,concerning
2257,tentang,in regards to
2258,tentang,pertaining to
2259,tentang,regarding
2260,tentu,absolute
2261,tentu,certain
2262,tentu,definite
2263,tentu,fixed
2264,tentu,of course
2265,tentu,sure
2266,teramat,immensely
2267,teramat,incredibly
2268,teramat,really
2269,teramat,terribly
2270,teramat,very
2271,terbesar,biggest
2272,terbesar,largest
2273,terbunuh,cut down
2274,terbunuh,killed
2275,terbunuh,mugged
2276,terbunuh,murdered
2277,terbunuh,slain
2278,terbunuh,slaughtered
2279,terbunuh,snuffed out
2280,terbunuh,taken care of
2281,terganggu,agitated
2282,terganggu,annoyed
2283,terganggu,bothered
2284,terganggu,distracted
2285,terganggu,disturbed
2286,terganggu,interrupted
2287,terganggu,upset
2288,tergantung,depend
2289,tergantung,depends on
2290,tergantung,hinges on
2291,teriak,call
2292,teriak,cry
2293,teriak,scream
2294,teriak,shout
2295,teriak,yell
2296,teriakan,call
2297,teriakan,cry
2298,teriakan,scream
2299,teriakan,shout
2300,teriakan,yell
2301,terima,accept
2302,terima,get
2303,terima,obtain
2304,terima,receive
2305,terima kasih,thank you
2306,terima kasih,thanks
2307,terima kasih,thx
2308,terima kasih,ty
2309,terimakasih,thank you
2310,terimakasih,thanks
2311,terimakasih,thx
2312,terimakasih,ty
2313,terkejut,mind blown
2314,terkejut,shock
2315,terkejut,startled
2316,terkejut,surprise
2317,terkejut,surprised
2318,terkejut,taken aback
2319,terkena,affected
2320,terkena,caught
2321,terkena,got
2322,terkena,infected
2323,terkena,stricken
2324,terkena,struck
2325,terluka,hurt
2326,terluka,injured
2327,terluka,wounded
2328,teror,terror
2329,terpengaruh,affected
2330,terpengaruh,influenced
2331,terpengaruh,persuaded
2332,terpengaruh,swayed
2333,tersangka,defendant
2334,tersangka,suspect
2335,tersangka,the accused
2336,tersinggung,hurt
2337,tersinggung,insulted
2338,tersinggung,offended
2339,tersinggung,triggered
2340,tertarik,attracted
2341,tertarik,fascinated
2342,tertarik,interested
2343,tertentu,certain
2344,tertentu,particular
2345,tertentu,specific
2346,tertinggal,left
2347,tertinggal,left behind
2348,tidak,no
2349,tidak aman,not safe
2350,tidak aman,unsafe
2351,tinggal,just
2352,tinggal,live
2353,tinggal,remain
2354,tinggal,reside
2355,tinggal,stay
2356,tingkat,class
2357,tingkat,degree
2358,tingkat,extent
2359,tingkat,floor
2360,tingkat,grade
2361,tingkat,level
2362,tingkat,stage
2363,tingkat,step
2364,tingkat,tier
2365,tragedi,tragedy
2366,trauma,trauma
2367,tubuh,body
2368,tubuh,physisque
2369,tuduhan,accusation
2370,tuduhan,allegation
2371,tuduhan,charge
2372,tuduhan,indictment
2373,tukang jualan,merchant
2374,tukang jualan,peddler
2375,tukang jualan,salesman
2376,tukang jualan,seller
2377,tukang jualan,street vendor
2378,tumpas,cut down
2379,tumpas,destroy
2380,tumpas,eliminate
2381,tumpas,eradicate
2382,tunda,cancel
2383,tunda,delay
2384,tunda,hold up
2385,tunda,postpone
2386,tunggu,wait
2387,turun,decrease
2388,turun,descennding
2389,turun,down
2390,turun,drop down
2391,turun,fall off
2392,turun,go down
2393,turun,step down
2394,tutup,cap
2395,tutup,close
2396,tutup,closed
2397,tutup,cover
2398,tutup,lid
2399,tutup,top
2400,uang,buck
2401,uang,cash
2402,uang,dough
2403,uang,funds
2404,uang,money
2405,uang,nickel
2406,uang,stacks
2407,untung,fortune
2408,untung,gain
2409,untung,good luck
2410,untung,profit
2411,utuh,intact
2412,utuh,perfect
2413,utuh,undamaged
2414,utuh,whole
2415,wajib,mandatory
2416,wajib,must
2417,wajib,obligatory
2418,wajib,required
2419,waspada,alert
2420,waspada,beware
2421,waspada,careful
2422,waspada,caution
2423,waspada,wary
2424,wow,whoa
2425,wow,whoo
2426,wow,wow
2427,ya,ay
2428,ya,aye
2429,ya,uh huh
2430,ya,yas
2431,ya,ye
2432,ya,yea
2433,ya,yeah
2434,ya,yep
2435,ya,yes
2436,ya,yup
2437,yakin,assured
2438,yakin,believe
2439,yakin,certain
2440,yakin,confident
2441,yakin,sure
2442,yakin,trust
