abu,habu,,,,,,,,,
adopsi,angkat ,,,,,,,,,
aduh,aduh,,,,,,,,,
aktif,kada baranai,,,,,,,,,
aku,aku,"unda (semacam ""gue"")",ulun (saya),,,,,,,
alam,alam,,,,,,,,,
alasan,alasan,,,,,,,,,
aman,aman,,,,,,,,,
amat,banar,,,,,,,,,
ambil,ambil,jumput,bibit,,,,,,,
ancam,ancam,,,,,,,,,
ancaman,mambari takutan,,,,,,,,,
aneh,aneh,,,,,,,,,
anehnya,anehnya,,,,,,,,,
anggun,bungas ambak,,,,,,,,,
anti,anti,,,,,,,,,
antisipasi,bajaga kalu kalupina,,,,,,,,,
api,api,,,,,,,,,
apresiasi,maharagai,,,,,,,,,
asing,asing,,,,,,,,,
asyik,asik,,,,,,,,,
badass,"(jika badass yg bermakna bajingan maka dalam bahasa Banjar bisa disebut ""tambuk"" )",hungang,,,,,,,,
bagi,gasan,sagan,bagi,"maaf saya beri keterangan disini : ""bagi"" dalam makna ""untuk"" maka terjemahannya adalah di kolom B dan C , sedangkan ""bagi"" dalam makna ""berbagi"" terjemahannya dalam kolom D, jika ""berbagi"" maka menjadi ""babagi""",,,,,,
bagus,bagus,baik,bengkeng,,,,,,,
bahagia,himung,,,,,,,,,
bahaya,bahaya,babahaya,,,,,,,,
baik,baik,bagus,,,,,,,,
ban,ban,,,,,,,,,
bangga,bangga,,,,,,,,,
bantu,ganii,dangani,,,,,,,,
batal,batal,kada jadi,,,,,,,,
batas,batas,inggan,tikas,,,,,,,
bebas,bebas,,,,,,,,,
beberapa,sapalih,,,,,,,,,
bela,bela,,,,,,,,,
belakang,balakang,,,,,,,,,
benar,bujur,,,,,,,,,
bencana,bala,,,,,,,,,
benci,muar,,,,,,,,,
berani,wani,,,,,,,,,
berarti,baarti (bermakna),baharaga (berharga),,,,,,,,
berat,barat,,,,,,,,,
berbahaya,babahaya,,,,,,,,,
berdarah,badarah,,,,,,,,,
berdoa,badoa,,,,,,,,,
berduka,sadih,marista,,,,,,,,
berguna,baguna,,,,,,,,,
berhak,berhak,,,,,,,,,
berharap,baharap,,,,,,,,,
beri,bari,,,,,,,,,
berkomitmen,bajanji,,,,,,,,,
berlebihan,kalabihan,,,,,,,,,
bermanfaat,bamanfaat,,,,,,,,,
bersaing,baadu,,,,,,,,,
bersama,"badua (""dua siapa ikam tulak?"" = ""bersama siapa kamu pergi"")","baimbai (""lakasi makan baimbai"" = ""cepetan makan bersama""",,,,,,,,
bersedih,sadih,,,,,,,,,
bersembunyi,basambunyi,,,,,,,,,
bersorak,basurak,,,,,,,,,
besar,ganal,,,,,,,,,
biadab,liwar jahat,,,,,,,,,
biaya,ungkus,,,,,,,,,
bingung,bingung,nganga,,,,,,,,
bodoh,bungul,,,,,,,,,
bohong,dusta,,,,,,,,,
bom,bom,,,,,,,,,
buka,buka,ungkap (membuka tudung saji =maungkap tatudung),,,,,,,,
bunga,kambang,,,,,,,,,
bungkam,hinip,diam bakut,,,,,,,,
bunuh,bunuh,matii,,,,,,,,
bunuh diri,bunuh diri,,,,,,,,,
buruk,buruk,,,,,,,,,
buta,picak,,,,,,,,,
cantik,bungas,,,,,,,,,
capai,tatulus ,,,,,,,,,
cari,cari,,,,,,,,,
cedera,luka,,,,,,,,,
cegah,tangati,,,,,,,,,
cemas,hara,kutan,gair,,,,,,,
cepat,lakas,,,,,,,,,
cerdas,pintar,,,,,,,,,
cinta,cinta,handak (aku cinta kamu = aku handak wan ikam),,,,,,,,
cium,cium,,,,,,,,,
cocok,pas,,,,,,,,,
copet,copet,cupit,,,,,,,,
damai,damai,,,,,,,,,
dapat,dapat,,,,,,,,,
daya,kawa ,sanggup,,,,,,,,
diabaikan,diliatakan,kada diherani,,,,,,,,
diam,diam,hinip,ranai,"bagana (semacam berdiam , misalkan berdiam diri di rumah = bagana di rumah)",,,,,,
diancam,diancam,,,,,,,,,
dibersihkan,dibarasihiakan,,,,,,,,,
dicuri,dicuntan,,,,,,,,,
dihukum,dihukum,,,,,,,,,
dikalahkan,dikalahakan,,,,,,,,,
dipercaya,diparcaya,,,,,,,,,
dipermalukan,disupanakan,,,,,,,,,
dipertanyakan,asa kada yakin,"(bisa juga orang banjar mengatakan dengan ""mbahhhh ayy iyaa gerang ?"")",,,,,,,,
diprovokasi,dihabui,,,,,,,,,
disebut-sebut,disambat-sambat,,,,,,,,,
ditakuti,ditakutani,,,,,,,,,
ditangkap,ditangkap,,,,,,,,,
diteror,ditakutani,,,,,,,,,
ditinggalkan,ditinggalakan,,,,,,,,,
ditingkatkan,ditambahi,,,,,,,,,
dituduh,dituduh,,,,,,,,,
ditunda,kaina,batunda,,,,,,,,
doa,doa,,,,,,,,,
doktrin,,,,,,,,,,
duka,sadih,,,,,,,,,
dukung,dukung,,,,,,,,,
dukungan,mendukung,,,,,,,,,
efektif,bamula,hanyar dimulai,,,,,,,,
eksklusif,tatunggal nitu ja,,,,,,,,,
empati,maras,,,,,,,,,
fitnah,fitnah,,,,,,,,,
fokus,tatunggal nitu ja,,,,,,,,,
gagah,gagah,,,,,,,,,
gagal,kada jadi,,,,,,,,,
gampang,nyaman haja (gampang saja),"""nyaman juga berarti enak""",,,,,,,,
ganggu,ganggu,,,,,,,,,
gaya,piragah,,,,,,,,,
gelap,kadap,,,,,,,,,
gentar,gair,,,,,,,,,
gertak,garatak,,,,,,,,,
gila,gila,mereng,pagat lambaran,kurang sa ons,tagantar,,,,,
guncang,guncang,gunjah,gantar,,,,,,,
guncangan,"bagantar (""goncangan gempa""= bagantar dapatnya gempa"")",,,,,,,,,
ha,,,,,,,,,,
habis,habis,lingis (untuk habis tak bersisa),,,,,,,,
hal,hal,,,,,,,,,
hancur,hancur,,,,,,,,,
hantu,hantu,,,,,,,,,
harapan,kahandak,,,,,,,,,
harga,haraga,,,,,,,,,
harta,harta,,,,,,,,,
hasil,hasil,pakoleh,,,,,,,,
hati,hati,,,,,,,,,
hati-hati,hati-hati,,,,,,,,,
hebat,hibat,"harat (""harat banar inya banyanyi""=""hebat benar dia bernyanyi"")","harat (""harat banar muha nyawa neh""= ""sok banget lo"")",,,,,,,
heboh,tumbur,,,,,,,,,
heroik,,,,,,,,,,
hidup,hidup,,,,,,,,,
hilang,hilang,langlap,,,,,,,,
hukum,hukum,,,,,,,,,
ikut,umpat,,,,,,,,,
ilham,ilham,,,,,,,,,
iman,iman,,,,,,,,,
indah,bagus,,,,,,,,,
ingat,ingat,,,,,,,,,
ingin,handak,,,,,,,,,
interogasi,manakuni bapicik,,,,,,,,,
isi,isi,,,,,,,,,
istimewa,istimewa,,,,,,,,,
jahat,jahat,,,,,,,,,
jamin,jamin,,,,,,,,,
jatuh,gugur,,,,,,,,,
jawab,jawab,,,,,,,,,
jaya,,,,,,,,,,
jelas,faham,mangarti,,,,,,,,
jelek,kada bungas,,,,,,,,,
jenis,macam,,,,,,,,,
jual,jual,,,,,,,,,
kalah,kalah,,,,,,,,,
kalimat,kalimat,,,,,,,,,
kapal,kapal,,,,,,,,,
karya,ulahan,,,,,,,,,
kasihan,maras,mambari maras,,,,,,,,
kaya,sugih,,,,,,,,,
keadilan,kaadilan,,,,,,,,,
keamanan,kaamanan,,,,,,,,,
kebaikan,kabaikan,,,,,,,,,
kebencian,kamuaran,,,,,,,,,
keberanian,kawanian,,,,,,,,,
kebetulan,kabalujuran,,,,,,,,,
kecewa,mantah hati,,,,,,,,,
kehancuran,karusakan,,,,,,,,,
kehilangan,kahilangan,,,,,,,,,
kejahatan,kajahatan,,,,,,,,,
kejam,kajam,,,,,,,,,
keji,liwar kajam,,,,,,,,,
kekayaan,kasugihan,,,,,,,,,
kekerasan,pamukulan,dihukumakan,,,,,,,,
kekuatan,kakuatan,,,,,,,,,
kelaparan,kalaparan,,,,,,,,,
keluar,kaluar,,,,,,,,,
kematian,kamatian,,,,,,,,,
kembali,babulik,,,,,,,,,
kena,kana,,,,,,,,,
kenal,kanal,patuh,,,,,,,,
kenyamanan,kanyamanan,,,,,,,,,
kepentingan,kapantingan,,,,,,,,,
keras,karas,,,,,,,,,
keren,bengkeng,,,,,,,,,
kerugian,karugian,,,,,,,,,
kerusakan,karusakan,,,,,,,,,
kesalahan,kasalahan,,,,,,,,,
kesan,palihat ikam wan diaaku ,,,,,,,,,
kesempatan,kasampatan,,,,,,,,,
kesepian,kasunyian,,,,,,,,,
kesulitan,kapalipitan,,,,,,,,,
ketakutan,katakutan,,,,,,,,,
ketat,kantat,,,,,,,,,
ketegangan,basengkengan,,,,,,,,,
kompak,rakat,,,,,,,,,
konflik,bakalahi,,,,,,,,,
konspirasi,bapiasat,,,,,,,,,
korban,korban,,,,,,,,,
korban jiwa,korban,,,,,,,,,
kosong,kosong,kusung,,,,,,,,
kotor,rigat,,,,,,,,,
kuat,kuat,,,,,,,,,
kurang,kurang,kada sampai,,,,,,,,
kutuk,kutuk,sumpahi,,,,,,,,
kutukan,disumpahi,,,,,,,,,
langgar,ranjah,langgar (jika bermakna semacam tempat ibadah),,,,,,,,
larang,tangati,,,,,,,,,
larangan,pamali,,,,,,,,,
lawan,lawan,,,,,,,,,
layak,kawa dipakai,,,,,,,,,
lebih,labih,,,,,,,,,
lebih baik,tabaik,,,,,,,,,
lembut,lambut,,,,,,,,,
lengkap,langkap,,,,,,,,,
lenyap,langlap,,,,,,,,,
lewat,lewat,balalu,,,,,,,,
lihat,liat,,,,,,,,,
lmao,,,,,,,,,,
luar biasa,bilang liwar,,,,,,,,,
lucu,lucu,,,,,,,,,
luka,luka,,,,,,,,,
lupa,kada ingat,kalumpan,,,,,,,,
maaf,maaf,,,,,,,,,
mahal,larang,,,,,,,,,
mampu,kawa,,,,,,,,,
marah,sarik,,,,,,,,,
masalah,masalah,,,,,,,,,
mati,mati,,,,,,,,,
mayat,mayat,,,,,,,,,
melakukan,manggawi,,,,,,,,,
melanggar,malanggar,,,,,,,,,
melemahkan,malamahakan,,,,,,,,,
melindungi,malindungakan,,,,,,,,,
melumpuhkan,,,,,,,,,,
memastikan,mamastiakan,,,,,,,,,
membahayakan,babahaya,,,,,,,,,
membantu,manggani i,,,,,,,,,
membatalkan,mambatalakan,kada jadi,,,,,,,,
membenci,mamuari,,,,,,,,,
membuka,mambuka,maungkap,maungkai,,,,,,,
membunuh,mamati i,,,,,,,,,
memerangi,manyarang,,,,,,,,,
mempertanyakan,manakunakan,,,,,,,,,
memuji,mamuji,maambung,,,,,,,,
menahan,manahan,,,,,,,,,
menanti,mahadang,,,,,,,,,
menarik,manarik,mambari kapingin (menarik dalam artian membuat tertarik/suka),,,,,,,,
mencurigakan,maulah curiga,,,,,,,,,
mendapatkan,mandapatakan,,,,,,,,,
menderita,marista,mandarita,,,,,,,,
mendoktrin,,,,,,,,,,
mendorong,manunjul,,,,,,,,,
mendukung,mandukung,,,,,,,,,
mendung,mandung,muru,,,,,,,,
menembak,manembak,,,,,,,,,
menerima,manarima,,,,,,,,,
mengakui,mangakui,mangaku ay,,,,,,,,
mengamankan,maamanakan,,,,,,,,,
mengeluarkan,mangaluarakan,,,,,,,,,
mengembalikan,mambulik akan,,,,,,,,,
mengerikan,mambari takutan,,,,,,,,,
menghancurkan,mahancuriakan,,,,,,,,,
menghargai,maharagai,,,,,,,,,
menghindari,maliung,,,,,,,,,
mengusir,mausir,,,,,,,,,
mengutuk,mangutuk,,,,,,,,,
meninggal,maninggal,,,,,,,,,
meningkatkan,manaik akan,,,,,,,,,
menolak,kada hakun,kada haku juga berarti tidak mau,,,,,,,,
menunggu,mahadang,,,,,,,,,
menurunkan,manurunakan,,,,,,,,,
menyadari,,,,,,,,,,
menyalahkan,maniwas,,,,,,,,,
menyambut,manyambut,,,,,,,,,
menyebabkan,maulah,,,,,,,,,
menyerang,manyarang,,,,,,,,,
menyeret,mahirit,,,,,,,,,
menyesatkan,manyasatakan,,,,,,,,,
menyita,manyita,,,,,,,,,
meragukan,,,,,,,,,,
meruntuhkan,mahancur,,,,,,,,,
minta,minta,,,,,,,,,
minta maaf,minta maaf,,,,,,,,,
miskin,miskin,sakit,,,,,,,,
moga,mudahan,,,,,,,,,
muda,anum,,,,,,,,,
mudah,nyaman,,,,,,,,,
muka,muha (wajah),,,,,,,,,
mulia,mulia,,,,,,,,,
mundur,baundur,,,,,,,,,
murah,murah,,,,,,,,,
murka,amuk,muar banar,,,,,,,,
musuh,sataru,musuh,,,,,,,,
nanti,kena,kaina,,,,,,,,
nekat,nekat,wani hangit,,,,,,,,
neraka,naraka,,,,,,,,,
ngeri,gair,,,,,,,,,
ngerti,faham,,,,,,,,,
nilai,nilai,,,,,,,,,
oke,ayu ja,,,,,,,,,
oleh,,,,,,,,,,
orang bodoh,orang bungul,,,,,,,,,
pada,gasan,,,,,,,,,
padat,rapat,tatal,hibak,,,,,,,
pahlawan,pahlawan,,,,,,,,,
palsu,palsu,inca an,,,,,,,,
panas,panas,,,,,,,,,
panik,abut,,,,,,,,,
panjang,panjang,,,,,,,,,
pantat,burit,,,,,,,,,
parodi,mahalabiu,,,,,,,,,
pasti,pasti,,,,,,,,,
pecah,pacah,,,,,,,,,
peduli,mahatiakan,,,,,,,,,
pelaku,nang manggawi,,,,,,,,,
pelaku kejahatan,panjahatnya,,,,,,,,,
pembela,pambela,,,,,,,,,
pemberani,pawanian,,,,,,,,,
pemberontakan,pambaruntak,,,,,,,,,
penangkapan,panangkapan,,,,,,,,,
pendukung,pandukung,panggustiannya,,,,,,,,
penembakan,panembakan,,,,,,,,,
pengecut,panakutan,,,,,,,,,
pengunjung,tamu,,,,,,,,,
penjara,panjara,,,,,,,,,
penting,panting,,,,,,,,,
penuh,hibak,,,,,,,,,
penularan,manjangkiti,,,,,,,,,
penyelamat,panyalamat,,,,,,,,,
penyelidikan,panyalidikan,,,,,,,,,
perampok,parampok,,,,,,,,,
perang,perang,,,,,,,,,
perasaan,parasaan,,,,,,,,,
percaya,parcaya,,,,,,,,,
perdamaian,badamai,,,,,,,,,
peringatan,diingataka,,,,,,,,,
perjuangan,bajuang,,,,,,,,,
pertanyaan,tatakunan,,,,,,,,,
pertempuran,baparang,bacakut,,,,,,,,
pikir,pikir,,,,,,,,,
pintar,pintar,,,,,,,,,
populer,tarkanal,,,,,,,,,
positif,bagus,batambah,,,,,,,,
potong,tatak,,,,,,,,,
puja,puja,,,,,,,,,
puji,puji,ambung,,,,,,,,
pukul,pukul,rimbat,catuk,,,,,,,
pulih,tabulik asal,,,,,,,,,
pura,kisahan,,,,,,,,,
pusing,pusing,hanyut (pada orang yg hampir pingsan karena anemia),,,,,,,,
racun,racun,,,,,,,,,
rahmat,rahmat,,,,,,,,,
rampas,rabuti,marabuti,,,,,,,,
ras,orang ,"(misal ras india ""orang india"")",,,,,,,,
raya,raya,,,,,,,,,
rela,rela,,,,,,,,,
rindu,dandaman,,,,,,,,,
runtuh,rubuh,,,,,,,,,
sadar,sadar,,,,,,,,,
saham,saham,,,,,,,,,
sakit,garing,,,,,,,,,
salah,salah,,,,,,,,,
salam,salam,,,,,,,,,
salut,maharagai aku,,,,,,,,,
sama,sama,,,,,,,,,
samping,higa,,,,,,,,,
sangat,bangat,liwar,,,,,,,,
santai,santai,,,,,,,,,
sapa,tagur,rawa,,,,,,,,
saran,papadah,,,,,,,,,
sayang,sayang,,,,,,,,,
sebab,sabab,,,,,,,,,
sebut,sambat,,,,,,,,,
sedih,sadih,marista,,,,,,,,
segan,segan,,,,,,,,,
selamat,salamat,,,,,,,,,
selesai,tuntung,,,,,,,,,
semangat,samangat,,,,,,,,,
sembunyi,sambunyi,basilip,,,,,,,,
semoga,mudahan,,,,,,,,,
sempat,sampat,sawat,,,,,,,,
senang,sanang,himung,,,,,,,,
sendiri,sorangan,,,,,,,,,
senjata,sanjata,,,,,,,,,
senyum,sanyum,karinyum,,,,,,,,
seperti,nangkaya,,,,,,,,,
sepi,sunyi,,,,,,,,,
seragam,saragam,,,,,,,,,
seram,mambari takutan,,,,,,,,,
serang,sarang,sarbu,,,,,,,,
serangan,sarangan,,,,,,,,,
serikat,sarikat,,,,,,,,,
siap,siap,,,,,,,,,
sigap,lakas,,,,,,,,,
silahkan,silahakan,jin ha,,,,,,,,
simpati,maras,,,,,,,,,
simpatik,maulah katuju,,,,,,,,,
solidaritas,kurang labih,kakurang labih,,,,,,,,
sopan,sopan,,,,,,,,,
stres,mauk,munyak,muyak,,,,,,,
striker,panyarang,,,,,,,,,
suap,sogok,,,,,,,,,
suka,katuju,,,,,,,,,
sulit,ngalih,,,,,,,,,
super,liwar,,,,,,,,,
surga,surga,,,,,,,,,
susah,ngalih,,,,,,,,,
tabah,tabah,,,,,,,,,
tabrak,ranjah,,,,,,,,,
tahan,tahan,,,,,,,,,
tahanan,tahanan,,,,,,,,,
tak kalah,kada kalah,,,,,,,,,
takut,takutan,,,,,,,,,
tanggung jawab,tanggung jawab,,,,,,,,,
tangis,tangis,,,,,,,,,
tangkap,tangkap,,,,,,,,,
tantangan,tantangan,,,,,,,,,
tanya,takun,,,,,,,,,
tegang,tagang,,,,,,,,,
tegas,tagas,,,,,,,,,
tembak,tembak,,,,,,,,,
tempur,tempur,,,,,,,,,
tenang,tanang,,,,,,,,,
tenggelam,tinggalam,,,,,,,,,
tentang,tantang,,,,,,,,,
tentu,nyata ay,nyata haja,,,,,,,,
teramat,bangat,,,,,,,,,
terbesar,pangganalnya,,,,,,,,,
terbunuh,tabunuh,,,,,,,,,
terganggu,taganggu,,,,,,,,,
tergantung,tagantung,,,,,,,,,
teriak,kuciak,,,,,,,,,
teriakan,kuciakan,,,,,,,,,
terima,tarima,,,,,,,,,
terima kasih,tarima kasih,,,,,,,,,
terimakasih,tarimakasih,,,,,,,,,
terkejut,takajut,,,,,,,,,
terkena,takana,,,,,,,,,
terluka,luka,gurai,,,,,,,,
teror,takutani,,,,,,,,,
terpengaruh,tahasut,,,,,,,,,
tersangka,tasangka,,,,,,,,,
tersinggung,tasinggung,,,,,,,,,
tertarik,katuju,,,,,,,,,
tertentu,orang orangnya jaa,,,,,,,,,
tertinggal,tatinggal,,,,,,,,,
tidak,kada,,,,,,,,,
tidak aman,kada aman,,,,,,,,,
tinggal,badiam,,,,,,,,,
tingkat,loteng,,,,,,,,,
tragedi,bakajadian,,,,,,,,,
trauma,pancat,,,,,,,,,
tubuh,awak,,,,,,,,,
tuduhan,tuduhan,,,,,,,,,
tukang jualan,tukang bajualan,,,,,,,,,
tumpas,habisakan,,,,,,,,,
tunda,kaina,,,,,,,,,
tunggu,hadang,,,,,,,,,
turun,turun,,,,,,,,,
tutup,tutup,tukup,,,,,,,,
uang,duit,,,,,,,,,
untung,untung (dalam hal semacam keberuntungan),hujung (untung dalam makna perdagangan semacam margin),,,,,,,,
utuh,kada bauna,,,,,,,,,
wajib,wajib,,,,,,,,,
waspada,bajaga kalu kalupina,,,,,,,,,
wow,umay,umaylah,uma uma,,,,,,,
ya,ya,iih,inggih,,,,,,,
yakin,yakin,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,s,,,,,,,
