abu,kawu,,,,,,,,,
adopsi,maangkat,mangkat,,,,,,,,
aduh,akay,akuy,kayah,,,,,,,
aktif,gerek,hagerek,,,,,,,,
aku,aku,ku,,,,,,,,
alam,alam,dunia,,,,,,,,
alasan,alasan,,,,,,,,,
aman,aman,,,,,,,,,
amat,tutu,bujur,,,,,,,,
ambil,duan,,,,,,,,,
ancam,,,,,,,,,,
ancaman,,,,,,,,,,
aneh,,,,,,,,,,
anehnya,,,,,,,,,,
anggun,,,,,,,,,,
anti,,,,,,,,,,
antisipasi,,,,,,,,,,
api,apuy,,,,,,,,,
apresiasi,merega,,,,,,,,,
asing,,,,,,,,,,
asyik,,,,,,,,,,
badass,,,,,,,,,,
bagi,,,,,,,,,,
bagus,bahalap,,,,,,,,,
bahagia,sanang,,,,,,,,,
bahaya,,,,,,,,,,
baik,bejenta,,,,,,,,,
ban,,,,,,,,,,
bangga,,,,,,,,,,
bantu,duhup,,,,,,,,,
batal,balang,,,,,,,,,
batas,,,,,,,,,,
bebas,,,,,,,,,,
beberapa,pire-pire,,,,,,,,,
bela,hakabela,,,,,,,,,
belakang,likut,,,,,,,,,
benar,bujur,,,,,,,,,
bencana,,,,,,,,,,
benci,benci,,,,,,,,,
berani,bahanyi,,,,,,,,,
berarti,berima,,,,,,,,,
berat,behat,ehat,,,,,,,,
berbahaya,bebahaya,,,,,,,,,
berdarah,bedaha,,,,,,,,,
berdoa,bedoa,,,,,,,,,
berduka,beduka,,,,,,,,,
berguna,baguna,,,,,,,,,
berhak,puna hak,,,,,,,,,
berharap,beharap,,,,,,,,,
beri,nenga,,,,,,,,,
berkomitmen,bejanji,,,,,,,,,
berlebihan,belabihan,,,,,,,,,
bermanfaat,beguna,,,,,,,,,
bersaing,besaing,,,,,,,,,
bersama,hayak,,,,,,,,,
bersedih,besedih,,,,,,,,,
bersembunyi,nyehukan,,,,,,,,,
bersorak,besorak,,,,,,,,,
besar,hai,,,,,,,,,
biadab,jatunti hadat,,,,,,,,,
biaya,ongkos,,,,,,,,,
bingung,hengan,,,,,,,,,
bodoh,mameh,humung,kepaleng,bungul,,,,,,
bohong,nenjaru,,,,,,,,,
bom,bom,,,,,,,,,
buka,mukei,,,,,,,,,
bunga,kambang,,,,,,,,,
bungkam,benyem,,,,,,,,,
bunuh,munu,,,,,,,,,
bunuh diri,munu arep,,,,,,,,,
buruk,papa,,,,,,,,,
buta,bebute,,,,,,,,,
cantik,bungas,,,,,,,,,
capai,dinun,supa,,,,,,,,
cari,gau,,,,,,,,,
cedera,,,,,,,,,,
cegah,,,,,,,,,,
cemas,,,,,,,,,,
cepat,capat,,,,,,,,,
cerdas,pintar,,,,,,,,,
cinta,sinta,,,,,,,,,
cium,nyingut,,,,,,,,,
cocok,pas,,,,,,,,,
copet,penakau,,,,,,,,,
damai,damai,,,,,,,,,
dapat,dinun,,,,,,,,,
daya,daya,,,,,,,,,
diabaikan,nelua,,,,,,,,,
diam,benyem tunis,,,,,,,,,
diancam,,,,,,,,,,
dibersihkan,irasih,,,,,,,,,
dicuri,inakau,,,,,,,,,
dihukum,,,,,,,,,,
dikalahkan,,,,,,,,,,
dipercaya,,,,,,,,,,
dipermalukan,impahawen,,,,,,,,,
dipertanyakan,,,,,,,,,,
diprovokasi,,,,,,,,,,
disebut-sebut,inyewut-nyewut,,,,,,,,,
ditakuti,impikeh,,,,,,,,,
ditangkap,inekap,,,,,,,,,
diteror,ineror,,,,,,,,,
ditinggalkan,ilihi,,,,,,,,,
ditingkatkan,,,,,,,,,,
dituduh,,,,,,,,,,
ditunda,inunda,,,,,,,,,
doa,doa,,,,,,,,,
doktrin,,,,,,,,,,
duka,,,,,,,,,,
dukung,,,,,,,,,,
dukungan,,,,,,,,,,
efektif,,,,,,,,,,
eksklusif,,,,,,,,,,
empati,umba angat,,,,,,,,,
fitnah,,,,,,,,,,
fokus,,,,,,,,,,
gagah,segah,,,,,,,,,
gagal,,,,,,,,,,
gampang,mudah,,,,,,,,,
ganggu,ngeraen,,,,,,,,,
gaya,,,,,,,,,,
gelap,kaput,,,,,,,,,
gentar,,,,,,,,,,
gertak,,,,,,,,,,
gila,ewuy,,,,,,,,,
guncang,,,,,,,,,,
guncangan,,,,,,,,,,
ha,,,,,,,,,,
habis,lepah,,,,,,,,,
hal,taloh,,,,,,,,,
hancur,,,,,,,,,,
hantu,kambe,,,,,,,,,
harapan,,,,,,,,,,
harga,rega,,,,,,,,,
harta,,,,,,,,,,
hasil,,,,,,,,,,
hati,atei,,,,,,,,,
hati-hati,bebuah,,,,,,,,,
hebat,,,,,,,,,,
heboh,,,,,,,,,,
heroik,,,,,,,,,,
hidup,belum,,,,,,,,,
hilang,nihau,,,,,,,,,
hukum,,,,,,,,,,
ikut,umba,,,,,,,,,
ilham,,,,,,,,,,
iman,,,,,,,,,,
indah,kahalap,,,,,,,,,
ingat,bingat,,,,,,,,,
ingin,handak,,,,,,,,,
interogasi,,,,,,,,,,
isi,,,,,,,,,,
istimewa,,,,,,,,,,
jahat,,,,,,,,,,
jamin,,,,,,,,,,
jatuh,menjatu,,,,,,,,,
jawab,tumbah,,,,,,,,,
jaya,,,,,,,,,,
jelas,tarang,,,,,,,,,
jelek,papa,,,,,,,,,
jenis,macam,,,,,,,,,
jual,,,,,,,,,,
kalah,,,,,,,,,,
kalimat,,,,,,,,,,
kapal,,,,,,,,,,
karya,,,,,,,,,,
kasihan,pasi ah,,,,,,,,,
kaya,tatau,,,,,,,,,
keadilan,,,,,,,,,,
keamanan,,,,,,,,,,
kebaikan,kejenta,,,,,,,,,
kebencian,,,,,,,,,,
keberanian,kehanyi,,,,,,,,,
kebetulan,,,,,,,,,,
kecewa,pehe atei,,,,,,,,,
kehancuran,,,,,,,,,,
kehilangan,,,,,,,,,,
kejahatan,,,,,,,,,,
kejam,,,,,,,,,,
keji,,,,,,,,,,
kekayaan,,,,,,,,,,
kekerasan,,,,,,,,,,
kekuatan,,,,,,,,,,
kelaparan,belauk miher,,,,,,,,,
keluar,belua,,,,,,,,,
kematian,,,,,,,,,,
kembali,haluli,,,,,,,,,
kena,buah,,,,,,,,,
kenal,kesene,,,,,,,,,
kenyamanan,,,,,,,,,,
kepentingan,,,,,,,,,,
keras,karas,,,,,,,,,
keren,,,,,,,,,,
kerugian,,,,,,,,,,
kerusakan,,,,,,,,,,
kesalahan,,,,,,,,,,
kesan,,,,,,,,,,
kesempatan,,,,,,,,,,
kesepian,,,,,,,,,,
kesulitan,,,,,,,,,,
ketakutan,,,,,,,,,,
ketat,,,,,,,,,,
ketegangan,,,,,,,,,,
kompak,,,,,,,,,,
konflik,,,,,,,,,,
konspirasi,,,,,,,,,,
korban,,,,,,,,,,
korban jiwa,,,,,,,,,,
kosong,,,,,,,,,,
kotor,papa,diak barasih,,,,,,,,
kuat,,,,,,,,,,
kurang,,,,,,,,,,
kutuk,,,,,,,,,,
kutukan,,,,,,,,,,
langgar,,,,,,,,,,
larang,ngehana,,,,,,,,,
larangan,,,,,,,,,,
lawan,,,,,,,,,,
layak,,,,,,,,,,
lebih,labih,,,,,,,,,
lebih baik,labih bahalap,,,,,,,,,
lembut,belemu,,,,,,,,,
lengkap,langkap,,,,,,,,,
lenyap,nihau,,,,,,,,,
lewat,mehalau,,,,,,,,,
lihat,mite,,,,,,,,,
lmao,,,,,,,,,,
luar biasa,,,,,,,,,,
lucu,,,,,,,,,,
luka,,,,,,,,,,
lupa,kelapean,,,,,,,,,
maaf,,,,,,,,,,
mahal,larang,,,,,,,,,
mampu,tau,,,,,,,,,
marah,besingi,,,,,,,,,
masalah,,,,,,,,,,
mati,matei,,,,,,,,,
mayat,hantu,,,,,,,,,
melakukan,,,,,,,,,,
melanggar,,,,,,,,,,
melemahkan,,,,,,,,,,
melindungi,,,,,,,,,,
melumpuhkan,,,,,,,,,,
memastikan,,,,,,,,,,
membahayakan,,,,,,,,,,
membantu,menduhup,,,,,,,,,
membatalkan,membalang,,,,,,,,,
membenci,,,,,,,,,,
membuka,memukei,,,,,,,,,
membunuh,memunu,,,,,,,,,
memerangi,,,,,,,,,,
mempertanyakan,,,,,,,,,,
memuji,,,,,,,,,,
menahan,,,,,,,,,,
menanti,,,,,,,,,,
menarik,,,,,,,,,,
mencurigakan,,,,,,,,,,
mendapatkan,,,,,,,,,,
menderita,,,,,,,,,,
mendoktrin,,,,,,,,,,
mendorong,,,,,,,,,,
mendukung,,,,,,,,,,
mendung,,,,,,,,,,
menembak,,,,,,,,,,
menerima,,,,,,,,,,
mengakui,,,,,,,,,,
mengamankan,,,,,,,,,,
mengeluarkan,,,,,,,,,,
mengembalikan,,,,,,,,,,
mengerikan,,,,,,,,,,
menghancurkan,,,,,,,,,,
menghargai,,,,,,,,,,
menghindari,,,,,,,,,,
mengusir,,,,,,,,,,
mengutuk,,,,,,,,,,
meninggal,melihi,nihau,,,,,,,,
meningkatkan,,,,,,,,,,
menolak,,,,,,,,,,
menunggu,,,,,,,,,,
menurunkan,,,,,,,,,,
menyadari,,,,,,,,,,
menyalahkan,,,,,,,,,,
menyambut,,,,,,,,,,
menyebabkan,,,,,,,,,,
menyerang,,,,,,,,,,
menyeret,,,,,,,,,,
menyesatkan,,,,,,,,,,
menyita,,,,,,,,,,
meragukan,,,,,,,,,,
meruntuhkan,,,,,,,,,,
minta,belaku,,,,,,,,,
minta maaf,,,,,,,,,,
miskin,,,,,,,,,,
moga,,,,,,,,,,
muda,tebela,,,,,,,,,
mudah,,,,,,,,,,
muka,baun,baum,,,,,,,,
mulia,,,,,,,,,,
mundur,,,,,,,,,,
murah,,,,,,,,,,
murka,,,,,,,,,,
musuh,,,,,,,,,,
nanti,kareh,,,,,,,,,
nekat,,,,,,,,,,
neraka,,,,,,,,,,
ngeri,kikeh,,,,,,,,,
ngerti,harati,,,,,,,,,
nilai,,,,,,,,,,
oke,yuh ih,,,,,,,,,
oleh,tagal,,,,,,,,,
orang bodoh,uluh mameh,,,,,,,,,
pada,akan,,,,,,,,,
padat,,,,,,,,,,
pahlawan,,,,,,,,,,
palsu,,,,,,,,,,
panas,belasut,,,,,,,,,
panik,,,,,,,,,,
panjang,,,,,,,,,,
pantat,para,burit,,,,,,,,
parodi,,,,,,,,,,
pasti,,,,,,,,,,
pecah,pusit,,,,,,,,,
peduli,nentuani,,,,,,,,,
pelaku,je mawi,,,,,,,,,
pelaku kejahatan,,,,,,,,,,
pembela,,,,,,,,,,
pemberani,,,,,,,,,,
pemberontakan,,,,,,,,,,
penangkapan,penekapan,,,,,,,,,
pendukung,,,,,,,,,,
penembakan,,,,,,,,,,
pengecut,,,,,,,,,,
pengunjung,,,,,,,,,,
penjara,sel,,,,,,,,,
penting,,,,,,,,,,
penuh,kuntep,,,,,,,,,
penularan,mewabah,,,,,,,,,
penyelamat,,,,,,,,,,
penyelidikan,,,,,,,,,,
perampok,,,,,,,,,,
perang,,,,,,,,,,
perasaan,,,,,,,,,,
percaya,,,,,,,,,,
perdamaian,,,,,,,,,,
peringatan,,,,,,,,,,
perjuangan,,,,,,,,,,
pertanyaan,,,,,,,,,,
pertempuran,,,,,,,,,,
pikir,,,,,,,,,,
pintar,,,,,,,,,,
populer,,,,,,,,,,
positif,,,,,,,,,,
potong,netek,,,,,,,,,
puja,,,,,,,,,,
puji,,,,,,,,,,
pukul,kapek,,,,,,,,,
pulih,,,,,,,,,,
pura,,,,,,,,,,
pusing,hundi,,,,,,,,,
racun,pulih,,,,,,,,,
rahmat,,,,,,,,,,
rampas,,,,,,,,,,
ras,,,,,,,,,,
raya,,,,,,,,,,
rela,,,,,,,,,,
rindu,mengganang,,,,,,,,,
runtuh,,,,,,,,,,
sadar,,,,,,,,,,
saham,,,,,,,,,,
sakit,haban,,,,,,,,,
salah,sala,,,,,,,,,
salam,tabe,,,,,,,,,
salut,,,,,,,,,,
sama,hayak,,,,,,,,,
samping,sila,,,,,,,,,
sangat,tutu,nyangit,,,,,,,,
santai,,,,,,,,,,
sapa,,,,,,,,,,
saran,,,,,,,,,,
sayang,,,,,,,,,,
sebab,awi,karana,,,,,,,,
sebut,sewut,,,,,,,,,
sedih,,,,,,,,,,
segan,,,,,,,,,,
selamat,,,,,,,,,,
selesai,,,,,,,,,,
semangat,,,,,,,,,,
sembunyi,nyehukan,,,,,,,,,
semoga,mudahan,,,,,,,,,
sempat,sampet,,,,,,,,,
senang,sanang,,,,,,,,,
sendiri,kebuat,,,,,,,,,
senjata,,,,,,,,,,
senyum,,,,,,,,,,
seperti,kilau,,,,,,,,,
sepi,suni,,,,,,,,,
seragam,,,,,,,,,,
seram,,,,,,,,,,
serang,nyarang,,,,,,,,,
serangan,,,,,,,,,,
serikat,,,,,,,,,,
siap,,,,,,,,,,
sigap,,,,,,,,,,
silahkan,,,,,,,,,,
simpati,,,,,,,,,,
simpatik,,,,,,,,,,
solidaritas,,,,,,,,,,
sopan,,,,,,,,,,
stres,,,,,,,,,,
striker,,,,,,,,,,
suap,,,,,,,,,,
suka,rajin,,,,,,,,,
sulit,,,,,,,,,,
super,,,,,,,,,,
surga,lewu tatau,,,,,,,,,
susah,bahali,,,,,,,,,
tabah,,,,,,,,,,
tabrak,,,,,,,,,,
tahan,,,,,,,,,,
tahanan,,,,,,,,,,
tak kalah,,,,,,,,,,
takut,mikeh,,,,,,,,,
tanggung jawab,,,,,,,,,,
tangis,,,,,,,,,,
tangkap,nekap,,,,,,,,,
tantangan,,,,,,,,,,
tanya,misek,,,,,,,,,
tegang,,,,,,,,,,
tegas,,,,,,,,,,
tembak,,,,,,,,,,
tempur,,,,,,,,,,
tenang,,,,,,,,,,
tenggelam,tenggelem,halelep,,,,,,,,
tentang,,,,,,,,,,
tentu,,,,,,,,,,
teramat,,,,,,,,,,
terbesar,,,,,,,,,,
terbunuh,,,,,,,,,,
terganggu,,,,,,,,,,
tergantung,,,,,,,,,,
teriak,keriak,,,,,,,,,
teriakan,,,,,,,,,,
terima,nerima,,,,,,,,,
terima kasih,,,,,,,,,,
terimakasih,,,,,,,,,,
terkejut,tekejet,,,,,,,,,
terkena,,,,,,,,,,
terluka,,,,,,,,,,
teror,,,,,,,,,,
terpengaruh,,,,,,,,,,
tersangka,,,,,,,,,,
tersinggung,,,,,,,,,,
tertarik,,,,,,,,,,
tertentu,,,,,,,,,,
tertinggal,,,,,,,,,,
tidak,dia,,,,,,,,,
tidak aman,,,,,,,,,,
tinggal,melai,,,,,,,,,
tingkat,,,,,,,,,,
tragedi,,,,,,,,,,
trauma,,,,,,,,,,
tubuh,biti,,,,,,,,,
tuduhan,,,,,,,,,,
tukang jualan,,,,,,,,,,
tumpas,,,,,,,,,,
tunda,,,,,,,,,,
tunggu,,,,,,,,,,
turun,muhun,,,,,,,,,
tutup,,,,,,,,,,
uang,duit,,,,,,,,,
untung,,,,,,,,,,
utuh,,,,,,,,,,
wajib,,,,,,,,,,
waspada,,,,,,,,,,
wow,,,,,,,,,,
ya,yuh,,,,,,,,,
yakin,,,,,,,,,,
